device_name;session_uid;host;port(i);url_publisher;offset(i)
SAEB-CLV-001;SAEB-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;0
SCNO-CLV-001;SCNO-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;1
SAEB-CLV-002;SAEB-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;2
SAEB-CLV-003;SAEB-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;3
SCNO-CLV-002;SCNO-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;4
SCNO-CLV-003;SCNO-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;5
SCNO-CLV-004;SCNO-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;6
SCNO-CLV-005;SCNO-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;7
S1TS-CLV-001;S1TS-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;8
S1TS-CLV-002;S1TS-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;9
S1TS-CLV-003;S1TS-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;10
S1TS-CLV-004;S1TS-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;11
S1TS-CLV-005;S1TS-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;12
S1TS-CLV-006;S1TS-CLV-006;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;13
SIGO-CLV-001;SIGO-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;14
S1TS-CLV-007;S1TS-CLV-007;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;15
S1TS-CLV-008;S1TS-CLV-008;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;16
S1TS-CLV-009;S1TS-CLV-009;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;17
S1TS-CLV-010;S1TS-CLV-010;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;18
S1TS-CLV-011;S1TS-CLV-011;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;19
S1TS-CLV-012;S1TS-CLV-012;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;20
S1TS-CLV-013;S1TS-CLV-013;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;21
S1TS-CLV-014;S1TS-CLV-014;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;22
S1TS-CLV-015;S1TS-CLV-015;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;23
S1TS-CLV-016;S1TS-CLV-016;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;24
S1TS-CLV-017;S1TS-CLV-017;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;25
S1TS-CLV-018;S1TS-CLV-018;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;26
S1TS-CLV-019;S1TS-CLV-019;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;27
S1TS-CLV-020;S1TS-CLV-020;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;28
S1TS-CLV-021;S1TS-CLV-021;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;29
S1TS-CLV-022;S1TS-CLV-022;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;30
S1TS-CLV-023;S1TS-CLV-023;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;31
S1TS-CLV-024;S1TS-CLV-024;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;32
S1TS-CLV-025;S1TS-CLV-025;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;33
