device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE5.1-S1;AL.SE5.1-S1;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE5.1-S2;AL.SE5.1-S2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE5.1-S3;AL.SE5.1-S3;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE5.1-S4;AL.SE5.1-S4;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE5.1-P1;AL.SE5.1-P1;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P2;AL.SE5.1-P2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P3;AL.SE5.1-P3;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P4;AL.SE5.1-P4;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P5;AL.SE5.1-P5;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P6;AL.SE5.1-P6;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P7;AL.SE5.1-P7;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P8;AL.SE5.1-P8;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P9;AL.SE5.1-P9;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P10;AL.SE5.1-P10;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P11;AL.SE5.1-P11;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P12;AL.SE5.1-P12;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.1-P13;AL.SE5.1-P13;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P1;AL.SE5.2-P1;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P2;AL.SE5.2-P2;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P3;AL.SE5.2-P3;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P4;AL.SE5.2-P4;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P5;AL.SE5.2-P5;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P6;AL.SE5.2-P6;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE5.2-P7;AL.SE5.2-P7;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT05-EMR-001;CT05-EMR-001;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
CT05-EMR-002;CT05-EMR-002;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
