item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;1ES2-BCI-001-BBA1;1ES2-BCI-001-BBA1;1ES2-BCI-001-BBA1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
2;1ES2-BCI-001-BBA2;1ES2-BCI-001-BBA2;1ES2-BCI-001-BBA2;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
3;CT04-BCI-001-BBA1;CT04-BCI-001-BBA1;CT04-BCI-001-BBA1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
4;CT04-BCI-001-BBA2;CT04-BCI-001-BBA2;CT04-BCI-001-BBA2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
5;CT06-BCI-001-BBA1;CT06-BCI-001-BBA1;CT06-BCI-001-BBA1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
6;CT06-BCI-001-BBA2;CT06-BCI-001-BBA2;CT06-BCI-001-BBA2;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
7;CT07-BCI-001-BBA1;CT07-BCI-001-BBA1;CT07-BCI-001-BBA1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
8;CT07-BCI-001-BBA2;CT07-BCI-001-BBA2;CT07-BCI-001-BBA2;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
