item;alias;description;sessionuid;road;stretchs;secc;pk;dm;param1_direction;param2_pk_ini;param3_pk_end;param4_name;param5_panels
1;TT_01;Fuengirola - Marbella;;Carretera Mapa;;;;;false;118.400;119.100;Marb;MAP-NTCIP-10
2;TT_02;Fuengirola - San Pedro Alcántara;;Carretera Mapa;;;;;false;118.400;120.500;SPeA;MAP-NTCIP-10
3;TT_03;Fuengirola - Estepona;;Carretera Mapa;;;;;false;118.400;121.300;EST;MAP-NTCIP-10
4;TT_04;Elviria - Marbella;;Carretera Mapa;;;;;false;118.800;119.100;Marb;MAP-NTCIP-9
5;TT_05;Elviria - Estepona;;Carretera Mapa;;;;;false;118.800;121.300;EST;MAP-NTCIP-9
6;TT_06;Marbella - Estepona;;Carretera Mapa;;;;;false;119.300;121.300;EST;MAP-NTCIP-7
