item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-PLC-CGBT;TUN-PLC-CGBT;TUN-PLC-CGBT;Carretera Tunel;Carretera;173+626;CA
2;TUN-PLCSI-1CA;TUN-PLCSI-1CA;TUN-PLCSI-1CA;Carretera Tunel;Carretera;173+626;CA
3;TUN-PLCSI-2CA;TUN-PLCSI-2CA;TUN-PLCSI-2CA;Carretera Tunel;Carretera;173+626;CA
4;TUN-PLCSI-3CA;TUN-PLCSI-3CA;TUN-PLCSI-3CA;Carretera Tunel;Carretera;172+43;CA
5;TUN-PLCSI-4CA;TUN-PLCSI-4CA;TUN-PLCSI-4CA;Carretera Tunel;Carretera;172+43;CA
6;TUN-PLCSI-5CA;TUN-PLCSI-5CA;TUN-PLCSI-5CA;Carretera Tunel;Carretera;172+434;CA
7;TUN-PLCG-CA;TUN-PLCG-CA;TUN-PLCG-CA;Carretera Tunel;Carretera;173+626;CA
8;TUN-PLC-1CA;TUN-PLC-1CA;TUN-PLC-1CA;Carretera Tunel;Carretera;173+626;CA
9;TUN-PLC-1MA;TUN-PLC-1MA;TUN-PLC-1MA;Carretera Tunel;Carretera;166+880;MA
10;TUN-PLCSI-1MA;TUN-PLCSI-1MA;TUN-PLCSI-1MA;Carretera Tunel;Carretera;166+880;MA
11;TUN-PLCSI-2MA;TUN-PLCSI-2MA;TUN-PLCSI-2MA;Carretera Tunel;Carretera;172+655;MA
12;TUN-PLCSI-3MA;TUN-PLCSI-3MA;TUN-PLCSI-3MA;Carretera Tunel;Carretera;172+655;MA
13;TUN-PLCSI-4MA;TUN-PLCSI-4MA;TUN-PLCSI-4MA;Carretera Tunel;Carretera;172+734;MA
14;TUN-PLCL-1;TUN-PLCL-1;TUN-PLCL-1;Carretera Tunel;Carretera;173+626;CA
