location_id;alias
219; pk 40+28 dm 3980
220; pk 40+385 dm 4085
221; pk 40+45 dm 4150
222; pk 40+485 dm 4185
223; pk 40+6 dm 4300
224; pk 40+7 dm 4400
225; pk 40+72 dm 4420
226; pk 40+835 dm 4535
227; pk 40+945 dm 4645
228; pk 40+95 dm 4650
229; pk 41+05 dm 4750
230; pk 41+055 dm 4755
231; pk 41+16 dm 4860
232; pk 41+28 dm 4980
233; pk 41+29 dm 4990
234; pk 41+38 dm 5080
235; pk 41+41 dm 5110
236; pk 41+47 dm 5170
237; pk 41+565 dm 5265
238; pk 41+65 dm 5350
239; pk 41+695 dm 5395
240; pk 41+74 dm 5440
241; pk 41+83 dm 5530
242; pk 41+85 dm 5550
243; pk 41+915 dm 5615
244; pk 42+005 dm 5705
245; pk 42+075 dm 5775
246; pk 42+1 dm 5800
247; pk 42+2 dm 5900
248; pk 42+25 dm 5950
249; pk 42+3 dm 6000
250; pk 6+04 dm 6040
251; pk 6+06 dm 6060
252; pk 42+405 dm 6105
253; pk  dm 6120
254; pk 42+45 dm 6150
255; pk 6+21 dm 6210
256; pk 42+51 dm 6210
257; pk 42+58 dm 6280
258; pk 6+3 dm 6300
259; pk 42+615 dm 6315
260; pk 42+725 dm 6425
261; pk 42+81 dm 6510
262; pk 42+825 dm 6525
263; pk 42+935 dm 6635
264; pk 43+03 dm 6730
265; pk 43+045 dm 6745
266; pk 43+155 dm 6855
267; pk 43+19 dm 6890
268; pk 43+26 dm 6960
269; pk 43+36 dm 7060
270; pk 43+415 dm 7115
271; pk 43+445 dm 7145
272; pk 43+535 dm 7235
273; pk 43+625 dm 7325
274; pk 43+71 dm 7410
275; pk 43+715 dm 7415
276; pk 43+81 dm 7510
277; pk 43+895 dm 7595
278; pk 43+935 dm 7635
279; pk 43+97 dm 7670
280; pk 44+02 dm 7720
281; pk 44+07 dm 7770
282; pk 44+19 dm 7890
283; pk 44+27 dm 7970
284; pk 44+305 dm 8005
285; pk 8+03 dm 8030
286; pk 44+425 dm 8125
287; pk 8+13 dm 8130
288; pk 44+495 dm 8195
289; pk 8+36 dm 8360
290; pk 0+9 dm 900
291; pk 0+97 dm 970
292; pk 36+92 dm 620
293; pk 43+93 dm 7630
294; pk 43+93 dm 7630
295; pk 43+93 dm 7630
296; pk 36+92 dm 620
297; pk 43+93 dm 7630
298; pk 36+92 dm 620
299; pk 36+92 dm 620
300; pk 43+93 dm 7630
301; pk 43+93 dm 7630
302; pk 36+92 dm 620
303; pk 43+93 dm 7630
304; pk 0+57 dm 570
305; pk 0+42 dm 420
306; pk 43+93 dm 7630
307; pk 37+050 dm 750
308; pk 37+050 dm 750
309; pk 37+050 dm 750
310; pk 37+085 dm 785
311; pk 37+085 dm 785
312; pk 37+085 dm 785
313; pk 38+550 dm 2250
314; pk 38+550 dm 2250
315; pk 38+550 dm 2250
316; pk 37+725 dm 1425
317; pk 37+725 dm 1425
318; pk 37+725 dm 1425
319; pk 39+050 dm 2750
320; pk 39+050 dm 2750
321; pk 39+050 dm 2750
322; pk 44+068 dm 7768
323; pk 44+068 dm 7768
324; pk 44+068 dm 7768
325; pk 43+268 dm 6968
326; pk 43+268 dm 6968
327; pk 43+268 dm 6968
