item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;R3DKD01L;R3DKD01L;R3DKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;13+018;L;SIEMENS;LOGO! 12/24 RCEo
2;R3DDH01L;R3DDH01L;R3DDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;15+842;L;SIEMENS;LOGO! 12/24 RCEo
3;R3DDH02P;R3DDH02P;R3DDH02P;R7;R7_4:Šamorín-Holice;;26+422;P;SIEMENS;LOGO! 12/24 RCEo
4;R3DDH03L;R3DDH03L;R3DDH03L;R7;R7_4:Šamorín-Holice;;30+245;L;SIEMENS;LOGO! 12/24 RCEo
5;R3DJS03P;R3DJS03P;R3DJS03P;D4;D4_3:Ketelec-Rovinca;;10+326;P;SIEMENS;LOGO! 12/24 RCEo
6;R3DJS04L;R3DJS04L;R3DJS04L;D4;D4_3:Ketelec-Rovinca;;11+703;L;SIEMENS;LOGO! 12/24 RCEo
7;R3DJS04P;R3DJS04P;R3DJS04P;D4;D4_3:Ketelec-Rovinca;;14+263;P;SIEMENS;LOGO! 12/24 RCEo
8;R3DJS05P;R3DJS05P;R3DJS05P;D4;D4_3:Ketelec-Rovinca;;17+940;P;SIEMENS;LOGO! 12/24 RCEo
9;R3DJS01L;R3DJS01L;R3DJS01L;D4;D4_1:Jarovce-Rusovce;;2+849;L;SIEMENS;LOGO! 12/24 RCEo
10;R3DJS02P;R3DJS02P;R3DJS02P;D4;D4_2:Rusovce-Ketelec;;7+992;P;SIEMENS;LOGO! 12/24 RCEo
11;R3DSR01P;R3DSR01P;R3DSR01P;D4;D4_8:Cierna voda-Raca;;28+480;P;SIEMENS;LOGO! 12/24 RCEo
12;R3DPK01L;R3DPK01L;R3DPK01L;R7;R7_1:Prievoz-Ketelec;;3+473;L;SIEMENS;LOGO! 12/24 RCEo
