item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param3_extension
62;3;1ES2-CAB-001;1ES2-CAB-001;1ES2-CAB-001;AVO;S1TS-ZON-022;Secc.01-10-03;39+110;;2810;12112
63;3;1ES3-CAB-002;1ES3-CAB-002;1ES3-CAB-002;AVO;SIGO-ZON-001;Secc.01-10-03;39+350;;3050;12113
64;3;1ES3-CAB-001;1ES3-CAB-001;1ES3-CAB-001;AVO;S1TN-ZON-004;Secc.01-10-03;39+360;;3055;11103
65;3;1ES4-CAB-001;1ES4-CAB-001;1ES4-CAB-001;AVO;S1TN-ZON-001;Secc.01-10-03;39+590;;3290;11104
66;3;1ES4-CAB-002;1ES4-CAB-002;1ES4-CAB-002;AVO;S1TS-ZON-027;Secc.01-10-03;39+590;;3290;12114
67;3;INKO-CAB-001;INKO-CAB-001;INKO-CAB-001;AVO;INKO-ZON-001;Secc.03-42-11;0+050;;50;21301
68;3;SNKP-CAB-001;SNKP-CAB-001;SNKP-CAB-001;AVO;SNKP-ZON-002;Secc.03-43-11;0+080;;80;21401
69;3;SMPN-CAB-001;SMPN-CAB-001;SMPN-CAB-001;AVO;SMPN-ZON-001;Secc.02-303-05;0+100;;100;22501
70;3;INKO-CAB-002;INKO-CAB-002;INKO-CAB-002;AVO;INKO-ZON-001;Secc.03-42-11;0+150;;150;21302
71;3;SICO-CAB-001;SICO-CAB-001;SICO-CAB-001;AVO;SICO-ZON-001;Secc.02-260-06;0+150;;150;22701
72;3;SMPS-CAB-001;SMPS-CAB-001;SMPS-CAB-001;AVO;SMPS-ZON-002;Secc.03-252-10;0+160;;160;21701
73;3;SNKO-CAB-001;SNKO-CAB-001;SNKO-CAB-001;AVO;SNKO-ZON-004;Secc.03-45-11;0+180;;180;21503
74;3;SNKP-CAB-002;SNKP-CAB-002;SNKP-CAB-002;AVO;SNKP-ZON-001;Secc.02-257-07;0+180;;180;21402
75;3;SMPN-CAB-002;SMPN-CAB-002;SMPN-CAB-002;AVO;SMPN-ZON-002;Secc.02-303-05;0+200;;200;22502
76;3;SAPR-CAB-001;SAPR-CAB-001;SAPR-CAB-001;AVO;SAPR-ZON-001;Secc.03-253-10;0+220;;220;22901
77;3;SICO-CAB-002;SICO-CAB-002;SICO-CAB-002;AVO;SICO-ZON-002;Secc.02-260-06;0+250;;250;22702
78;3;SMPS-CAB-002;SMPS-CAB-002;SMPS-CAB-002;AVO;SMPS-ZON-003;Secc.03-252-10;0+260;;260;21702
79;3;SNKO-CAB-002;SNKO-CAB-002;SNKO-CAB-002;AVO;SNKO-ZON-005;Secc.03-45-11;0+270;;270;21504
80;3;SMPN-CAB-003;SMPN-CAB-003;SMPN-CAB-003;AVO;SMPS-ZON-004;Secc.02-303-05;0+360;;360;22503
81;3;ICNP-CAB-001;ICNP-CAB-001;ICNP-CAB-001;AVO;ICNP-ZON-006;Secc.02-47-04;0+320;;320;22401
82;3;SAPR-CAB-002;SAPR-CAB-002;SAPR-CAB-002;AVO;SAPR-ZON-001;Secc.03-253-10;0+320;;320;22902
83;2;INKP-SOS-001;INKP-SOS-001;INKP-SOS-001;AVO;INKP_EXT;Secc.02-29-04;0+340;;340;22311
84;3;SICO-CAB-003;SICO-CAB-003;SICO-CAB-003;AVO;SICO-ZON-002;Secc.02-260-06;0+350;;350;22703
86;3;2E10-CAB-003;2E10-CAB-003;2E10-CAB-003;AVO;ICNP-ZON-005;Secc.02-47-04;0+420;;420;22147
87;3;ICNP-CAB-002;ICNP-CAB-002;ICNP-CAB-002;AVO;ICNP-ZON-005;Secc.02-47-04;0+420;;420;22402
88;3;INKP-CAB-001;INKP-CAB-001;INKP-CAB-001;AVO;INKP_EXT;Secc.02-29-04;0+450;;450;22301
89;3;SMPN-CAB-004;SMPN-CAB-004;SMPN-CAB-004;AVO;SMPS-ZON-005;Secc.02-303-05;0+460;;460;21703
