item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param3_extension
208;3;S2TN-CAB-018;S2TN-CAB-018;S2TN-CAB-018;AVO;S2TN-ZON-017;Secc.03-11-11;42+868;;6568;21018
209;3;S2TS-CAB-032;S2TS-CAB-032;S2TS-CAB-032;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;;6568;22032
210;3;S2TN-CAB-017;S2TN-CAB-017;S2TN-CAB-017;AVO;S2TN-ZON-016;Secc.03-11-11;42+968;;6668;21017
211;3;S2TS-CAB-033;S2TS-CAB-033;S2TS-CAB-033;AVO;S2TS-ZON-033;Secc.02-10-06;42+968;;6668;22033
212;3;2E19-CAB-001;2E19-CAB-001;2E19-CAB-001;AVO;S2TN-ZON-016;Secc.03-11-10;43+030;;6730;21119
213;3;2E19-CAB-002;2E19-CAB-002;2E19-CAB-002;AVO;S2TS-ZON-034;Secc.02-10-06;43+030;;6730;22119
214;3;S2TN-CAB-016;S2TN-CAB-016;S2TN-CAB-016;AVO;S2TN-ZON-016;Secc.03-11-11;43+068;;6768;21016
215;3;S2TS-CAB-034;S2TS-CAB-034;S2TS-CAB-034;AVO;S2TS-ZON-034;Secc.02-10-06;43+068;;6768;22034
216;3;S2TN-CAB-015;S2TN-CAB-015;S2TN-CAB-015;AVO;S2TN-ZON-015;Secc.03-11-11;43+168;;6868;21015
217;3;S2TS-CAB-035;S2TS-CAB-035;S2TS-CAB-035;AVO;S2TS-ZON-035;Secc.02-10-06;43+168;;6868;22035
218;3;2E20-CAB-001;2E20-CAB-001;2E20-CAB-001;AVO;S2TN-ZON-014;Secc.03-11-10;43+190;;6890;21120
219;3;2E20-CAB-002;2E20-CAB-002;2E20-CAB-002;AVO;S2TS-ZON-036;Secc.02-10-06;43+190;;6890;22120
220;3;S2TN-CAB-014;S2TN-CAB-014;S2TN-CAB-014;AVO;S2TN-ZON-014;Secc.03-11-10;43+268;;6968;21014
221;3;S2TS-CAB-036;S2TS-CAB-036;S2TS-CAB-036;AVO;S2TS-ZON-037;Secc.02-10-06;43+268;;6968;22036
222;3;S2TN-CAB-013;S2TN-CAB-013;S2TN-CAB-013;AVO;S2TN-ZON-013;Secc.03-11-10;43+368;;7068;21013
223;3;S2TS-CAB-037;S2TS-CAB-037;S2TS-CAB-037;AVO;S2TS-ZON-038;Secc.02-10-06;43+368;;7068;22037
224;2;IBTO-SOS-001;IBTO-SOS-001;IBTO-SOS-001;AVO;IBTO_EXT;Secc.03-255-08;7+080;;7080;21911
225;3;2E21-CAB-001;2E21-CAB-001;2E21-CAB-001;AVO;S2TN-ZON-012;Secc.03-11-09;43+415;;7115;21121
226;3;2E21-CAB-002;2E21-CAB-002;2E21-CAB-002;AVO;S2TS-ZON-038;Secc.02-10-06;43+415;;7115;22121
227;3;IBTO-CAB-002;IBTO-CAB-002;IBTO-CAB-002;AVO;IBTO-ZON-003;Secc.03-255-08;7+155;;7155;21902
228;3;S2TN-CAB-012;S2TN-CAB-012;S2TN-CAB-012;AVO;S2TN-ZON-012;Secc.03-11-11;43+468;;7168;21012
229;3;S2TS-CAB-038;S2TS-CAB-038;S2TS-CAB-038;AVO;S2TS-ZON-039;Secc.02-10-06;43+468;;7168;22038
230;3;IBTO-CAB-001;IBTO-CAB-001;IBTO-CAB-001;AVO;IBTO-ZON-002;Secc.03-255-08;7+240;;7240;21901
231;3;S2TN-CAB-011;S2TN-CAB-011;S2TN-CAB-011;AVO;S2TN-ZON-011;Secc.03-11-11;43+568;;7268;21011
232;3;S2TS-CAB-039;S2TS-CAB-039;S2TS-CAB-039;AVO;S2TS-ZON-040;Secc.02-10-07;43+568;;7268;22039
233;3;2E22-CAB-001;2E22-CAB-001;2E22-CAB-001;AVO;S2TN-ZON-011;Secc.03-11-09;43+570;;7270;21122
235;3;2E23-CAB-001;2E23-CAB-001;2E23-CAB-001;AVO;S2TN-ZON-010;Secc.03-11-09;43+640;;7340;21123
237;3;S2TN-CAB-010;S2TN-CAB-010;S2TN-CAB-010;AVO;S2TN-ZON-010;Secc.03-11-11;43+668;;7368;21010
238;3;S2TS-CAB-040;S2TS-CAB-040;S2TS-CAB-040;AVO;S2TS-ZON-041;Secc.02-10-07;43+668;;7368;22040
239;3;2E24-CAB-001;2E24-CAB-001;2E24-CAB-001;AVO;S2TN-ZON-009;Secc.03-11-09;43+710;;7410;21124
240;3;2E24-CAB-002;2E24-CAB-002;2E24-CAB-002;AVO;S2TS-ZON-041;Secc.02-10-07;43+710;;7410;22124
241;3;S2TN-CAB-009;S2TN-CAB-009;S2TN-CAB-009;AVO;S2TN-ZON-009;Secc.03-11-11;43+768;;7468;21009
242;3;S2TS-CAB-041;S2TS-CAB-041;S2TS-CAB-041;AVO;S2TS-ZON-042;Secc.02-10-07;0+050;;7468;22041
243;3;S2TS-CAB-042;S2TS-CAB-042;S2TS-CAB-042;AVO;S2TS-ZON-043;Secc.02-10-07;43+868;;7568;22042
244;3;S2TN-CAB-008;S2TN-CAB-008;S2TN-CAB-008;AVO;S2TN-ZON-008;Secc.03-11-11;43+868;;7568;21008
245;3;2E25-CAB-001;2E25-CAB-001;2E25-CAB-001;AVO;S2TN-ZON-007;Secc.03-11-09;43+935;;7635;21125
246;3;2E25-CAB-002;2E25-CAB-002;2E25-CAB-002;AVO;S2TS-ZON-043;Secc.02-10-07;43+935;;7635;22125
247;3;S2TN-CAB-007;S2TN-CAB-007;S2TN-CAB-007;AVO;S2TN-ZON-006;Secc.03-11-11;43+968;;7668;21007
248;3;S2TS-CAB-043;S2TS-CAB-043;S2TS-CAB-043;AVO;S2TS-ZON-044;Secc.02-10-07;43+968;;7668;22043
251;3;S2TN-CAB-006;S2TN-CAB-006;S2TN-CAB-006;AVO;S2TN-ZON-005;Secc.03-11-11;44+068;;7768;21006
252;3;S2TS-CAB-044;S2TS-CAB-044;S2TS-CAB-044;AVO;S2TS-ZON-045;Secc.02-10-07;44+068;;7768;22044
255;3;S2TN-CAB-005;S2TN-CAB-005;S2TN-CAB-005;AVO;S2TN-ZON-004;Secc.03-11-11;44+168;;7868;21005
256;3;S2TS-CAB-045;S2TS-CAB-045;S2TS-CAB-045;AVO;S2TS-ZON-046;Secc.02-10-07;44+168;;7868;22045
257;3;S2TN-CAB-004;S2TN-CAB-004;S2TN-CAB-004;AVO;S2TN-ZON-004;Secc.03-11-11;44+268;;7968;21004
258;3;S2TS-CAB-046;S2TS-CAB-046;S2TS-CAB-046;AVO;S2TS-ZON-047;Secc.02-10-07;44+268;;7968;22046
259;3;2E28-CAB-001;2E28-CAB-001;2E28-CAB-001;AVO;S2TN-ZON-003;Secc.03-11-08;44+270;;7970;21128
260;3;2E28-CAB-002;2E28-CAB-002;2E28-CAB-002;AVO;S2TS-ZON-047;Secc.02-10-07;44+270;;7970;22128
261;3;SBTP-CAB-001;SBTP-CAB-001;SBTP-CAB-001;AVO;SBTP-ZON-001;Secc.02-257-07;8+020;;8020;22801
262;3;S2TN-CAB-003;S2TN-CAB-003;S2TN-CAB-003;AVO;S2TN-ZON-002;Secc.03-11-11;44+368;;8068;21003
263;3;S2TS-CAB-047;S2TS-CAB-047;S2TS-CAB-047;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;;8068;22047
264;3;SBTP-CAB-002;SBTP-CAB-002;SBTP-CAB-002;AVO;SBTP-ZON-001;Secc.02-257-07;8+120;;8120;22802
265;3;S2TN-CAB-002;S2TN-CAB-002;S2TN-CAB-002;AVO;S2TN-ZON-002;Secc.03-11-11;44+468;;8168;21002
266;3;S2TS-CAB-048;S2TS-CAB-048;S2TS-CAB-048;AVO;S2TS-ZON-048;Secc.02-10-07;44+468;;8168;22048
267;3;2E29-CAB-001;2E29-CAB-001;2E29-CAB-001;AVO;S2TN-ZON-001;Secc.03-11-08;44+495;;8195;21129
268;3;2E29-CAB-002;2E29-CAB-002;2E29-CAB-002;AVO;S2TS-ZON-049;Secc.02-10-07;44+495;;8195;22129
269;3;SBTP-CAB-003;SBTP-CAB-003;SBTP-CAB-003;AVO;SBTP-ZON-002;Secc.02-257-07;8+220;;8220;22803
270;3;S2TN-CAB-001;S2TN-CAB-001;S2TN-CAB-001;AVO;S2TN-ZON-001;Secc.03-11-11;44+568;;8268;21001
271;3;S2TS-CAB-049;S2TS-CAB-049;S2TS-CAB-049;AVO;S2TS-ZON-049;Secc.02-10-07;44+568;;8268;22049
272;3;SBTP-CAB-004;SBTP-CAB-004;SBTP-CAB-004;AVO;SBTP_EXT;Secc.02-257-07;44+468;;8168;22804
273;3;SMPN-CAB-005;SMPN-CAB-005;SMPN-CAB-005;AVO;SMPS-ZON-006;Secc.02-303-05;0+550;;550;21704
274;3;SNUK-CAB-001;SNUK-CAB-001;SNUK-CAB-001;AVO;SNUK-ZON-001;Secc.03-45-11;0+180;;180;21501
275;3;SNUK-CAB-002;SNUK-CAB-002;SNUK-CAB-002;AVO;SNUK-ZON-002;Secc.03-45-11;0+250;;250;21502
276;3;2E21-CAB-003;2E21-CAB-003;2E21-CAB-003;AVO;S2TN-ZON-012;Secc.03-11-09;43+415;;7115;21126
277;3;2E21-CAB-004;2E21-CAB-004;2E21-CAB-004;AVO;S2TS-ZON-038;Secc.02-10-06;43+415;;7115;22126
278;3;SICO-CAB-004;SICO-CAB-004;SICO-CAB-004;AVO;SICO-ZON-003;Secc.02-260-06;0+450;;450;22704
