item;road_type;alias;description
1;MOTORWAY;UF 1;Buga – Palmira y Yumbo – Yotoco
2;MOTORWAY;UF 2;Santander de Quilichao – Palmira
3;MOTORWAY;UF 3;Avenida Bicentenario
4;MOTORWAY;UF 4;Jamundi – Villa Rica
5;MOTORWAY;UF 5;Yumbo – Cali
