item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay
1;TUN-SEC-1-DET-1CA-IN;TUN-SEC-1-DET-1CA-IN;TUN-SEC-1-DET-1CA-IN;Carretera Tunel;Carretera;173+900;MA;true;3;0;0
2;TUN-SEC-1-DET-2CA-IN;TUN-SEC-1-DET-2CA-IN;TUN-SEC-1-DET-2CA-IN;Carretera Tunel;Carretera;173+900;MA;true;4;0;0
3;TUN-SEC-2-DET-3MA-OUT;TUN-SEC-2-DET-3MA-OUT;TUN-SEC-2-DET-3MA-OUT;Carretera Tunel;Carretera;173+900;MA;true;1;0;0
4;TUN-SEC-2-DET-4MA-OUT;TUN-SEC-2-DET-4MA-OUT;TUN-SEC-2-DET-4MA-OUT;Carretera Tunel;Carretera;173+900;MA;true;2;0;0
5;TUN-SEC-1-DET-1MA-IN;TUN-SEC-1-DET-1MA-IN;TUN-SEC-1-DET-1MA-IN;Carretera Tunel;Carretera;173+900;MA;true;1;0;0
6;TUN-SEC-1-DET-2MA-IN;TUN-SEC-1-DET-2MA-IN;TUN-SEC-1-DET-2MA-IN;Carretera Tunel;Carretera;173+900;MA;true;2;0;0
7;TUN-SEC-2-DET-3CA-OUT;TUN-SEC-2-DET-3CA-OUT;TUN-SEC-2-DET-3CA-OUT;Carretera Tunel;Carretera;173+900;MA;true;3;0;0
8;TUN-SEC-2-DET-4CA-OUT;TUN-SEC-2-DET-4CA-OUT;TUN-SEC-2-DET-4CA-OUT;Carretera Tunel;Carretera;173+900;MA;true;4;0;0
9;MAP-SEC-1-DET-1;MAP-SEC-1-DET-1;MAP-SEC-1-DET-1;Carretera Mapa;Mapa;118+300;;true;1;0;0
10;MAP-SEC-1-DET-2;MAP-SEC-1-DET-2;MAP-SEC-1-DET-2;Carretera Mapa;Mapa;118+300;;true;2;0;0
11;MAP-SEC-2-DET-1;MAP-SEC-2-DET-1;MAP-SEC-2-DET-1;Carretera Mapa;Mapa;118+700;;true;1;0;0
12;MAP-SEC-2-DET-2;MAP-SEC-2-DET-2;MAP-SEC-2-DET-2;Carretera Mapa;Mapa;118+700;;true;2;0;0
13;MAP-SEC-3-DET-1;MAP-SEC-3-DET-1;MAP-SEC-3-DET-1;Carretera Mapa;Mapa;119+200;;true;1;0;0
14;MAP-SEC-3-DET-2;MAP-SEC-3-DET-2;MAP-SEC-3-DET-2;Carretera Mapa;Mapa;119+200;;true;2;0;0
15;MAP-SEC-4-DET-1;MAP-SEC-4-DET-1;MAP-SEC-4-DET-1;Carretera Mapa;Mapa;120+600;;true;1;0;0
16;MAP-SEC-4-DET-2;MAP-SEC-4-DET-2;MAP-SEC-4-DET-2;Carretera Mapa;Mapa;120+600;;true;2;0;0
17;MAP-SEC-5-DET-1;MAP-SEC-5-DET-1;MAP-SEC-5-DET-1;Carretera Mapa;Mapa;121+400;;true;1;0;0
18;MAP-SEC-5-DET-2;MAP-SEC-5-DET-2;MAP-SEC-5-DET-2;Carretera Mapa;Mapa;121+400;;true;2;0;0
