item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_group_id
1;TUN-MEG-GR-TUNEL;TUN-MEG-GR-TUNEL;TUN-MEG-GR-TUNEL;Carretera Tunel;Carretera;172+100;CA;2
2;TUN-MEG-GR-TSC;TUN-MEG-GR-TSC;TUN-MEG-GR-TSC;Carretera Tunel;Carretera;172+100;CA;21
3;TUN-MEG-GR-TSM;TUN-MEG-GR-TSM;TUN-MEG-GR-TSM;Carretera Tunel;Carretera;172+100;CA;22
