item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-CA;RV-CA;RV-CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
2;RV-MA;RV-MA;RV-MA;AP7 - AUSOL I;STMI-TUNEL;195+689;MA
3;MM-CA;MM-CA;MM-CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
4;MM-MA;MM-MA;MM-MA;AP7 - AUSOL I;STMI-TUNEL;195+689;MA
5;STMI-CA;STMI-CA;STMI-CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
6;STMI-MA;STMI-MA;STMI-MA;AP7 - AUSOL I;STMI-TUNEL;195+689;MA
7;LQ-CA;LQ-CA;LQ-CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
8;LQ-MA;LQ-MA;LQ-MA;AP7 - AUSOL I;STMI-TUNEL;195+689;MA
9;CH Sentido Cádiz;CH Sentido Cádiz;CH-CA;AP7 - AUSOL I;CH-TUNEL;195+689;CA
10;CH Sentido Málaga;CH Sentido Málaga;CH-MA;AP7 - AUSOL I;CH-TUNEL;195+689;MA
11;CAS Sentido Cádiz;CAS Sentido Cádiz;CAS-CA;AP7 - AUSOL II;CAS-TUNEL;195+689;CA
12;CAS Sentido Málaga;CAS Sentido Málaga;CAS-MA;AP7 - AUSOL II;CAS-TUNEL;195+689;MA
13;COR Sentido Cádiz;COR Sentido Cádiz;COR-CA;AP7 - AUSOL II;COR-TUNEL;195+689;CA
14;COR Sentido Málaga;COR Sentido Málaga;COR-MA;AP7 - AUSOL II;COR-TUNEL;195+689;MA
15;STM2 Sentido Cádiz;STM2 Sentido Cádiz;STM2-CA;AP7 - AUSOL II;STMII-TUNEL;195+689;CA
16;STM2 Sentido Málaga;STM2 Sentido Málaga;STM2-MA;AP7 - AUSOL II;STMII-TUNEL;195+689;MA
17;EST Sentido Cádiz;EST Sentido Cádiz;EST-CA;AP7 - AUSOL II;EST-TUNEL;195+689;CA
18;EST Sentido Málaga;EST Sentido Málaga;EST-MA;AP7 - AUSOL II;EST-TUNEL;195+689;MA
19;NG Sentido Cádiz;NG Sentido Cádiz;NG-CA;AP7 - AUSOL II;NG-TUNEL;195+689;CA
20;NG Sentido Málaga;NG Sentido Málaga;NG-MA;AP7 - AUSOL II;NG-TUNEL;195+689;MA
