alias;parent_alias;module_id;layer
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS;;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS;901;tunel_despeñaperros.svg
SELECTOR_TREE_NODES_SINOPTICO_LOCALES_TECNICOS;;902;locales_tecnicos.svg
SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA;;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA_TUNEL;SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA;903;tunel_la_cantera.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_DESPEÑAPERROS;SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS;;
SELECTOR_TREE_NODES_SINOPTICO_LT2;SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_DESPEÑAPERROS;;
SELECTOR_TREE_NODES_SINOPTICO_LT3;SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_DESPEÑAPERROS;;
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_2_SUR;SELECTOR_TREE_NODES_SINOPTICO_LT2;904;unifilar_ilum_2_sur.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_2_NORTE;SELECTOR_TREE_NODES_SINOPTICO_LT2;905;unifilar_ilum_2_norte.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_3_NORTE;SELECTOR_TREE_NODES_SINOPTICO_LT3;906;unifilar_ilum_3_norte.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_3_SUR;SELECTOR_TREE_NODES_SINOPTICO_LT3;907;unifilar_ilum_3_sur.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_CGBT_LT2;SELECTOR_TREE_NODES_SINOPTICO_LT2;908;unifilar_cgbt_lt2.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_CGBT_LT3;SELECTOR_TREE_NODES_SINOPTICO_LT3;909;unifilar_cgbt_lt3.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_LA_CANTERA;SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA;;
SELECTOR_TREE_NODES_SINOPTICO_LT4;SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_LA_CANTERA;;
