item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;4;PSI-2-01-CE;PSI-2-01-CE;PSI-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;
2;4;PSI-1-01-CE;PSI-1-01-CE;PSI-1-01-CE;Autovía A-44;La Cerradura;;Granada;;
3;4;PSE-2-01-CE;PSE-2-01-CE;PSE-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;
4;4;PSE-2-02-CE;PSE-2-02-CE;PSE-2-02-CE;Autovía A-44;La Cerradura;;Jaén;;
5;4;PSE-1-01-CE;PSE-1-01-CE;PSE-1-01-CE;Autovía A-44;La Cerradura;;Granada;;
6;4;PSE-1-02-CE;PSE-1-02-CE;PSE-1-02-CE;Autovía A-44;La Cerradura;;Granada;;
