item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-CT-CGBT-SIR-1;RV-CT-CGBT-SIR-1;RV-CT-CGBT-SIR-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;RV-CT-PCI-SIR-1;RV-CT-PCI-SIR-1;RV-CT-PCI-SIR-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
3;MM-CT-CGBT-SIR-1;MM-CT-CGBT-SIR-1;MM-CT-CGBT-SIR-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA
4;MM-CT-PCI-SIR-1;MM-CT-PCI-SIR-1;MM-CT-PCI-SIR-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA
5;STMI-CT-CGBT-SIR-1;STMI-CT-CGBT-SIR-1;STMI-CT-CGBT-SIR-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
6;CAS-CT-PCI-SIR-1;CAS-CT-PCI-SIR-1;CAS-CT-PCI-SIR-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
7;CAS-CT-CGBT-BC-SIR-1;CAS-CT-CGBT-BC-SIR-1;CAS-CT-CGBT-BC-SIR-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
8;CAS-CT-CGBT-BM-SIR-1;CAS-CT-CGBT-BM-SIR-1;CAS-CT-CGBT-BM-SIR-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
9;CH-CT-CGBT-SIR-1;CH-CT-CGBT-SIR-1;CH-CT-CGBT-SIR-1;AP7 - AUSOL I;CH-TUNEL;195+719;CA
10;CH-CT-PCI-SIR-1;CH-CT-PCI-SIR-1;CH-CT-PCI-SIR-1;AP7 - AUSOL I;CH-TUNEL;195+719;CA
11;EST-CT-CGBT-SIR-1;EST-CT-CGBT-SIR-1;EST-CT-CGBT-SIR-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA
12;LQ-CT-CGBT-SIR-1;LQ-CT-CGBT-SIR-1;LQ-CT-CGBT-SIR-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
13;LQ-CT-PCI-SIR-1;LQ-CT-PCI-SIR-1;LQ-CT-PCI-SIR-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
14;NG-CT-CGBT-SIR-1;NG-CT-CGBT-SIR-1;NG-CT-CGBT-SIR-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
15;NG-CT-PCI-SIR-1;NG-CT-PCI-SIR-1;NG-CT-PCI-SIR-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
16;COR-CT-CGBT-BM-SIR-1;COR-CT-CGBT-BM-SIR-1;COR-CT-CGBT-BM-SIR-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA
17;COR-CT-CGBT-BC-SIR-1;COR-CT-CGBT-BC-SIR-1;COR-CT-CGBT-BC-SIR-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA
18;COR-CT-PCI-SIR-1;COR-CT-PCI-SIR-1;COR-CT-PCI-SIR-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA
