PLC_name;device_name;session_uid;ip;port(i);url_publisher;offset_ipl_temperatura_balizas(i);offset_ipl_temperatura(i);offset_ipl_falla(i)
WAGO;IPL-2500;IPL-2500;192.168.88.198;2223;http:\/\/192.168.88.173:3000\/api\/v2\/generic\/;3;4;5
WAGO;IPL-1200;IPL-1200;192.168.88.198;2223;http:\/\/192.168.88.173:3000\/api\/v2\/generic\/;0;1;2
