item;alias;description;sessionuid;road;stretchs;secc;pk;param5_pk_ini;param6_pk_end;dm;;;;
1;IBTO-ZON-001;IBTO-ZON-001;IBTO-ZON-001;AVO;IBTO-ZON-001;Secc.03-255-08;7+3;7+3;7+2;7300;;;;
2;IBTO-ZON-002;IBTO-ZON-002;IBTO-ZON-002;AVO;IBTO-ZON-002;Secc.03-255-08;7+2;7+2;7+1;7200;;;;
3;IBTO-ZON-003;IBTO-ZON-003;IBTO-ZON-003;AVO;IBTO-ZON-003;Secc.03-255-08;7+1;7+1;7+0;7100;;;;
4;ICCO-ZON-001;ICCO-ZON-001;ICCO-ZON-001;AVO;ICCO-ZON-001;Secc.03-258-09;5+4;5+4;5+3;5400;;;;
5;ICCO-ZON-002;ICCO-ZON-002;ICCO-ZON-002;AVO;ICCO-ZON-002;Secc.03-258-09;5+3;5+3;5+2;5300;;;;
6;ICCP-ZON-001;ICCP-ZON-001;ICCP-ZON-001;AVO;ICCP-ZON-001;Secc.02-256-07;64+5;64+5;63+5;6450;;;;
7;ICCP-ZON-002;ICCP-ZON-002;ICCP-ZON-002;AVO;ICCP-ZON-002;Secc.02-256-07;63+5;63+5;62+5;6350;;;;
8;ICCP-ZON-003;ICCP-ZON-003;ICCP-ZON-003;AVO;ICCP-ZON-003;Secc.02-256-07;62+5;62+5;61+5;6250;;;;
9;ICNP-ZON-001;ICNP-ZON-001;ICNP-ZON-001;AVO;ICNP-ZON-001;Secc.02-47-04;0+2;0+2;0+3;200;;;;
10;ICNP-ZON-002;ICNP-ZON-002;ICNP-ZON-002;AVO;ICNP-ZON-002;Secc.02-47-04;0+3;0+3;0+4;300;;;;
11;ICNP-ZON-003;ICNP-ZON-003;ICNP-ZON-003;AVO;ICNP-ZON-003;Secc.02-47-04;0+4;0+4;0+5;400;;;;
12;ICNP-ZON-004;ICNP-ZON-004;ICNP-ZON-004;AVO;ICNP-ZON-004;Secc.02-47-04;0+5;0+5;0+6;500;;;;
13;ICNP-ZON-005;ICNP-ZON-005;ICNP-ZON-005;AVO;ICNP-ZON-005;Secc.02-47-04;0+6;0+6;0+7;600;;;;
14;ICNP-ZON-006;ICNP-ZON-006;ICNP-ZON-006;AVO;ICNP-ZON-006;Secc.02-47-04;0+7;0+7;0+8;700;;;;
15;INKO-ZON-001;INKO-ZON-001;INKO-ZON-001;AVO;INKO-ZON-001;Secc.03-42-11;0+05;0+05;0+15;50;;;;
16;INKO-ZON-002;INKO-ZON-002;INKO-ZON-002;AVO;INKO-ZON-002;Secc.03-42-11;0+15;0+15;0+25;150;;;;
17;INKP-ZON-001;INKP-ZON-001;INKP-ZON-001;AVO;INKP-ZON-001;Secc.02-29-04;0+44;0+44;0+545;440;;;;
18;INKP-ZON-002;INKP-ZON-002;INKP-ZON-002;AVO;INKP-ZON-002;Secc.02-29-04;0+545;0+545;0+645;545;;;;
19;INKP-ZON-003;INKP-ZON-003;INKP-ZON-003;AVO;INKP-ZON-003;Secc.02-29-04;0+645;0+645;0+745;645;;;;
20;INKP-ZON-004;INKP-ZON-004;INKP-ZON-004;AVO;INKP-ZON-004;Secc.02-29-04;0+745;0+745;0+845;745;;;;
21;INKP-ZON-005;INKP-ZON-005;INKP-ZON-005;AVO;INKP-ZON-005;Secc.02-29-04;0+845;0+845;0+945;845;;;;
22;INKP-ZON-006;INKP-ZON-006;INKP-ZON-006;AVO;INKP-ZON-006;Secc.02-29-04;0+89;0+89;0+79;890;;;;
23;INKP-ZON-007;INKP-ZON-007;INKP-ZON-007;AVO;INKP-ZON-007;Secc.02-29-04;0+99;0+99;0+89;990;;;;
24;INKP-ZON-008;INKP-ZON-008;INKP-ZON-008;AVO;INKP-ZON-008;Secc.02-29-04;1+09;1+09;0+99;1090;;;;
25;IPRO-ZON-001;IPRO-ZON-001;IPRO-ZON-001;AVO;IPRO-ZON-001;Secc.03-57-10;4+25;4+25;4+35;4250;;;;
26;IVIP-ZON-001;IVIP-ZON-001;IVIP-ZON-001;AVO;IVIP-ZON-001;Secc.02-16-04;3+33;3+33;3+23;3330;;;;
27;IVIP-ZON-002;IVIP-ZON-002;IVIP-ZON-002;AVO;IVIP-ZON-002;Secc.02-16-04;3+23;3+23;3+13;3230;;;;
28;IVIP-ZON-003;IVIP-ZON-003;IVIP-ZON-003;AVO;IVIP-ZON-003;Secc.02-16-04;39+33;39+33;39+43;3030;;;;
