item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_zone_id
1;TUN-MEG-1MA;TUN-MEG-1MA;TUN-MEG-1MA;Carretera Tunel;Carretera;172+100;CA;15
2;TUN-MEG-2MA;TUN-MEG-2MA;TUN-MEG-2MA;Carretera Tunel;Carretera;172+100;CA;16
3;TUN-MEG-3MA;TUN-MEG-3MA;TUN-MEG-3MA;Carretera Tunel;Carretera;172+100;CA;13
4;TUN-MEG-4MA;TUN-MEG-4MA;TUN-MEG-4MA;Carretera Tunel;Carretera;172+100;CA;14
5;TUN-MEG-1CA;TUN-MEG-1CA;TUN-MEG-1CA;Carretera Tunel;Carretera;172+100;CA;9
6;TUN-MEG-2CA;TUN-MEG-2CA;TUN-MEG-2CA;Carretera Tunel;Carretera;172+100;CA;11
7;TUN-MEG-3CA;TUN-MEG-3CA;TUN-MEG-3CA;Carretera Tunel;Carretera;172+100;CA;12
8;TUN-MEG-4CA;TUN-MEG-4CA;TUN-MEG-4CA;Carretera Tunel;Carretera;172+100;CA;10
9;TUN-RADIO;TUN-RADIO;TUN-RADIO;Carretera Tunel;Carretera;177+290;CA;67
