state_machine_alias;state_alias_in;state_alias_out;nexus_and;condition_alias
LIGHTING_SERVICE_RV_BC;INIT;DAY_100;true;INIT_DAY_100
LIGHTING_SERVICE_RV_BC;INIT;DAY_85;true;INIT_DAY_85
LIGHTING_SERVICE_RV_BC;INIT;DAY_65;true;INIT_DAY_65
LIGHTING_SERVICE_RV_BC;INIT;DAY_50;true;INIT_DAY_50
LIGHTING_SERVICE_RV_BC;INIT;DAY_40;true;INIT_DAY_40
LIGHTING_SERVICE_RV_BC;INIT;DAY_30;true;INIT_DAY_30
LIGHTING_SERVICE_RV_BC;INIT;DAY_20;true;INIT_DAY_20
LIGHTING_SERVICE_RV_BC;INIT;DAY_10;true;INIT_DAY_10
LIGHTING_SERVICE_RV_BC;INIT;NIGHT;true;INIT_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_85;true;DAY_100_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_65;true;DAY_100_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_50;true;DAY_100_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_40;true;DAY_100_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_30;true;DAY_100_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_20;true;DAY_100_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_100;DAY_10;true;DAY_100_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_100;NIGHT;true;DAY_100_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_100;true;DAY_85_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_65;true;DAY_85_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_50;true;DAY_85_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_40;true;DAY_85_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_30;true;DAY_85_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_20;true;DAY_85_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_85;DAY_10;true;DAY_85_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_85;NIGHT;true;DAY_85_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_100;true;DAY_65_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_85;true;DAY_65_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_50;true;DAY_65_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_40;true;DAY_65_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_30;true;DAY_65_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_20;true;DAY_65_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_65;DAY_10;true;DAY_65_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_65;NIGHT;true;DAY_65_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_100;true;DAY_50_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_85;true;DAY_50_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_65;true;DAY_50_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_40;true;DAY_50_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_30;true;DAY_50_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_20;true;DAY_50_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_50;DAY_10;true;DAY_50_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_50;NIGHT;true;DAY_50_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_100;true;DAY_40_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_85;true;DAY_40_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_65;true;DAY_40_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_50;true;DAY_40_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_30;true;DAY_40_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_20;true;DAY_40_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_40;DAY_10;true;DAY_40_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_40;NIGHT;true;DAY_40_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_100;true;DAY_30_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_85;true;DAY_30_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_65;true;DAY_30_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_50;true;DAY_30_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_40;true;DAY_30_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_20;true;DAY_30_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_30;DAY_10;true;DAY_30_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_30;NIGHT;true;DAY_30_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_100;true;DAY_20_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_85;true;DAY_20_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_65;true;DAY_20_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_50;true;DAY_20_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_40;true;DAY_20_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_30;true;DAY_20_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_20;DAY_10;true;DAY_20_DAY_10
LIGHTING_SERVICE_RV_BC;DAY_20;NIGHT;true;DAY_20_NIGHT
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_100;true;DAY_10_DAY_100
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_85;true;DAY_10_DAY_85
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_65;true;DAY_10_DAY_65
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_50;true;DAY_10_DAY_50
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_40;true;DAY_10_DAY_40
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_30;true;DAY_10_DAY_30
LIGHTING_SERVICE_RV_BC;DAY_10;DAY_20;true;DAY_10_DAY_20
LIGHTING_SERVICE_RV_BC;DAY_10;NIGHT;true;DAY_10_NIGHT
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_100;true;NIGHT_DAY_100
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_85;true;NIGHT_DAY_85
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_65;true;NIGHT_DAY_65
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_50;true;NIGHT_DAY_50
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_40;true;NIGHT_DAY_40
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_30;true;NIGHT_DAY_30
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_20;true;NIGHT_DAY_20
LIGHTING_SERVICE_RV_BC;NIGHT;DAY_10;true;NIGHT_DAY_10
