item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;SCO-1-01-CE;SCO-1-01-CE;SCO-1-01-CE;Autovía A-44;La Cerradura;;Granada;;;
2;SCO-1-02-CE;SCO-1-02-CE;SCO-1-02-CE;Autovía A-44;La Cerradura;;Granada;;;
3;SCO-2-01-CE;SCO-2-01-CE;SCO-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;;
4;SCO-2-02-CE;SCO-2-02-CE;SCO-2-02-CE;Autovía A-44;La Cerradura;;Jaén;;;
