device_name;source_name;det_name;det_order;url_publisher
ETD-1;ETD-1;ETD-1-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-1;ETD-1;ETD-1-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-2;ETD-2;ETD-2-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-2;ETD-2;ETD-2-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-3;ETD-3;ETD-3-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-3;ETD-3;ETD-3-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-4;ETD-4;ETD-4-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-4;ETD-4;ETD-4-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-5;ETD-5;ETD-5-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-5;ETD-5;ETD-5-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-6;ETD-6;ETD-6-DET-1;1;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
ETD-6;ETD-6;ETD-6-DET-2;2;http:\/\/192.168.88.38:3000\/api\/v2\/generic\/
