item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;RNKD.1B;RNKD.1B;RNKD.1B;R7;R7_2:Ketelec-Dunajská Lužná;;7+012;L;SIEMENS;LOGO! 12/24 RCEo
2;RNKD.2B;RNKD.2B;RNKD.2B;R7;R7_2:Ketelec-Dunajská Lužná;;7+492;L;SIEMENS;LOGO! 12/24 RCEo
3;RNKD.3B;RNKD.3B;RNKD.3B;R7;R7_2:Ketelec-Dunajská Lužná;;7+769;L;SIEMENS;LOGO! 12/24 RCEo
4;RNKD.1C;RNKD.1C;RNKD.1C;R7;R7_2:Ketelec-Dunajská Lužná;;8+005;L;SIEMENS;LOGO! 12/24 RCEo
5;RNKD.3C;RNKD.3C;RNKD.3C;R7;R7_2:Ketelec-Dunajská Lužná;;8+512;L;SIEMENS;LOGO! 12/24 RCEo
6;RNKD.3D;RNKD.3D;RNKD.3D;R7;R7_2:Ketelec-Dunajská Lužná;;11+556;L;SIEMENS;LOGO! 12/24 RCEo
7;RNKD.3F;RNKD.3F;RNKD.3F;R7;R7_2:Ketelec-Dunajská Lužná;;14+156;L;SIEMENS;LOGO! 12/24 RCEo
8;RNDH.2A;RNDH.2A;RNDH.2A;R7;R7_3:Dunajská Lužná-Šamorín;;15+483;L;SIEMENS;LOGO! 12/24 RCEo
9;RNDH.2B;RNDH.2B;RNDH.2B;R7;R7_3:Dunajská Lužná-Šamorín;;17+264;L;SIEMENS;LOGO! 12/24 RCEo
10;RNDH.1D;RNDH.1D;RNDH.1D;R7;R7_4:Šamorín-Holice;;20+794;L;SIEMENS;LOGO! 12/24 RCEo
11;RNDH.2D;RNDH.2D;RNDH.2D;R7;R7_4:Šamorín-Holice;;21+121;L;SIEMENS;LOGO! 12/24 RCEo
12;RNDH.1F;RNDH.1F;RNDH.1F;R7;R7_4:Šamorín-Holice;;26+438;L;SIEMENS;LOGO! 12/24 RCEo
13;RNDH.3F;RNDH.3F;RNDH.3F;R7;R7_4:Šamorín-Holice;;27+644;L;SIEMENS;LOGO! 12/24 RCEo
14;RNDH.5F;RNDH.5F;RNDH.5F;R7;R7_4:Šamorín-Holice;;28+897;L;SIEMENS;LOGO! 12/24 RCEo
15;RNDH.1K;RNDH.1K;RNDH.1K;R7;R7_4:Šamorín-Holice;;29+542;L;SIEMENS;LOGO! 12/24 RCEo
16;RNDH.3K;RNDH.3K;RNDH.3K;R7;R7_4:Šamorín-Holice;;30+042;L;SIEMENS;LOGO! 12/24 RCEo
17;RNDH.4K;RNDH.4K;RNDH.4K;R7;R7_4:Šamorín-Holice;;30+242;L;SIEMENS;LOGO! 12/24 RCEo
18;RNJS.2F;RNJS.2F;RNJS.2F;D4;D4_3:Ketelec-Rovinca;;9+611;P;SIEMENS;LOGO! 12/24 RCEo
19;RNJS.1G;RNJS.1G;RNJS.1G;D4;D4_3:Ketelec-Rovinca;;10+332;P;SIEMENS;LOGO! 12/24 RCEo
20;RNJS.2G;RNJS.2G;RNJS.2G;D4;D4_3:Ketelec-Rovinca;;10+637;P;SIEMENS;LOGO! 12/24 RCEo
21;RNJS.3G;RNJS.3G;RNJS.3G;D4;D4_3:Ketelec-Rovinca;;10+882;L;SIEMENS;LOGO! 12/24 RCEo
22;RNJS.3H;RNJS.3H;RNJS.3H;D4;D4_3:Ketelec-Rovinca;;11+726;L;SIEMENS;LOGO! 12/24 RCEo
23;RNJS.1J;RNJS.1J;RNJS.1J;D4;D4_3:Ketelec-Rovinca;;12+367;L;SIEMENS;LOGO! 12/24 RCEo
24;RNJS.2J;RNJS.2J;RNJS.2J;D4;D4_3:Ketelec-Rovinca;;12+733;P;SIEMENS;LOGO! 12/24 RCEo
25;RNJS.2K;RNJS.2K;RNJS.2K;D4;D4_4:Rovinka-Pod.Biskupice;;14+057;P;SIEMENS;LOGO! 12/24 RCEo
26;RNJS.3K;RNJS.3K;RNJS.3K;D4;D4_4:Rovinka-Pod.Biskupice;;14+221;P;SIEMENS;LOGO! 12/24 RCEo
27;RNJS.4K;RNJS.4K;RNJS.4K;D4;D4_4:Rovinka-Pod.Biskupice;;14+613;P;SIEMENS;LOGO! 12/24 RCEo
28;RNJS.6K;RNJS.6K;RNJS.6K;D4;D4_4:Rovinka-Pod.Biskupice;;15+274;-;SIEMENS;LOGO! 12/24 RCEo
29;RNJS.1L;RNJS.1L;RNJS.1L;D4;D4_4:Rovinka-Pod.Biskupice;;15+698;-;SIEMENS;LOGO! 12/24 RCEo
30;RNJS.3L;RNJS.3L;RNJS.3L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+964;P;SIEMENS;LOGO! 12/24 RCEo
31;RNJS.2M;RNJS.2M;RNJS.2M;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+936;P;SIEMENS;LOGO! 12/24 RCEo
32;RNJS.3M;RNJS.3M;RNJS.3M;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;SIEMENS;LOGO! 12/24 RCEo
33;RNJS.4M;RNJS.4M;RNJS.4M;D5;D4_5:Pod.Biskupice-Ivanka západ;;;-;SIEMENS;LOGO! 12/24 RCEo
34;RNJS.6M;RNJS.6M;RNJS.6M;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+565;P;SIEMENS;LOGO! 12/24 RCEo
35;RNJS.8M;RNJS.8M;RNJS.8M;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+453;P;SIEMENS;LOGO! 12/24 RCEo
36;RNJS.1N;RNJS.1N;RNJS.1N;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+092;-;SIEMENS;LOGO! 12/24 RCEo
37;RNJS.3N;RNJS.3N;RNJS.3N;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+608;-;SIEMENS;LOGO! 12/24 RCEo
38;RNJS.6N;RNJS.6N;RNJS.6N;D4;D4_6:Ivanka západ-Ivanka sever;;23+017;P;SIEMENS;LOGO! 12/24 RCEo
39;RNJS.2P;RNJS.2P;RNJS.2P;D4;D4_6:Ivanka západ-Ivanka sever;;23+852;P;SIEMENS;LOGO! 12/24 RCEo
40;RNJS.3P;RNJS.3P;RNJS.3P;D4;D4_1:Jarovce-Rusovce;;24+267;-;SIEMENS;LOGO! 12/24 RCEo
41;RN406.1;RN406.1;RN406.1;D4;D4_1:Jarovce-Rusovce;;0+83  ST-HR;L;SIEMENS;LOGO! 12/24 RCEo
42;RNJS.3B;RNJS.3B;RNJS.3B;D4;D4_1:Jarovce-Rusovce;;2+008;L;SIEMENS;LOGO! 12/24 RCEo
43;RNJS.1C;RNJS.1C;RNJS.1C;D4;D4_1:Jarovce-Rusovce;;3+705;L;SIEMENS;LOGO! 12/24 RCEo
44;RNJS.2C;RNJS.2C;RNJS.2C;D4;D4_2:Rusovce-Ketelec;;4+143;L;SIEMENS;LOGO! 12/24 RCEo
45;RNJS.3C;RNJS.3C;RNJS.3C;D4;D4_2:Rusovce-Ketelec;;4+427;-;SIEMENS;LOGO! 12/24 RCEo
