alias;parent_alias;module_id;layer
TREE_MENU_CT;;;
TREE_CT_1;TREE_MENU_CT;901;CT1.svg
TREE_CT_2;TREE_MENU_CT;902;CT2.svg
TREE_CT_3;TREE_MENU_CT;903;CT3.svg
TREE_CT_4;TREE_MENU_CT;904;CT4.svg
TREE_CT_5;TREE_MENU_CT;905;CT5.svg
TREE_CT_6;TREE_MENU_CT;906;CT6.svg
TREE_CT_7;TREE_MENU_CT;907;CT7.svg
TREE_CT_8;TREE_MENU_CT;908;CT8.svg
TREE_MENU_PANELES_TARIFARIOS;;;
TREE_PANELES_TARIFARIOS;TREE_MENU_PANELES_TARIFARIOS;909;tarifarios.svg
LBL_TREE_MENU_SUBSISTEMA_PCI;;;
LBL_TREE_ALJ_1;LBL_TREE_MENU_SUBSISTEMA_PCI;910;aljibe1.svg
LBL_TREE_ALJ_2;LBL_TREE_MENU_SUBSISTEMA_PCI;911;aljibe2.svg
LBL_TREE_ALJ_3;LBL_TREE_MENU_SUBSISTEMA_PCI;912;aljibe3.svg
LBL_TREE_ALJ_4;LBL_TREE_MENU_SUBSISTEMA_PCI;913;aljibe4.svg
LBL_TREE_S1;;;
LBL_TREE_S1_T1;LBL_TREE_S1;914;S1_T1.svg
