synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
TREE_CT_1;CONTROL;;;;
TREE_CT_1;PLC;CONTROL;27;;
TREE_CT_1;ELECTRICIDAD;;;;
TREE_CT_1;TRAFO;ELECTRICIDAD;33;;
TREE_CT_1;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_1;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_1;UPS;ELECTRICIDAD;65;;
TREE_CT_1;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_1;GE;ELECTRICIDAD;75;;
TREE_CT_1;DET_LAZO;;;;
TREE_CT_1;DET_HUMO;DET_LAZO;58;;
TREE_CT_1;PULSADOR;DET_LAZO;59;;
TREE_CT_1;SIRENA;DET_LAZO;60;;
TREE_CT_1;CENTRAL_CT;DET_LAZO;61;;
TREE_CT_2;CONTROL;;;;
TREE_CT_2;PLC;CONTROL;27;;
TREE_CT_2;ELECTRICIDAD;;;;
TREE_CT_2;TRAFO;ELECTRICIDAD;33;;
TREE_CT_2;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_2;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_2;UPS;ELECTRICIDAD;65;;
TREE_CT_2;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_2;GE;ELECTRICIDAD;75;;
TREE_CT_2;DET_LAZO;;;;
TREE_CT_2;DET_HUMO;DET_LAZO;58;;
TREE_CT_2;PULSADOR;DET_LAZO;59;;
TREE_CT_2;SIRENA;DET_LAZO;60;;
TREE_CT_2;CENTRAL_CT;DET_LAZO;61;;
TREE_CT_3;CONTROL;;;;
TREE_CT_3;PLC;CONTROL;27;;
TREE_CT_3;ELECTRICIDAD;;;;
TREE_CT_3;TRAFO;ELECTRICIDAD;33;;
TREE_CT_3;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_3;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_3;UPS;ELECTRICIDAD;65;;
TREE_CT_3;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_3;GE;ELECTRICIDAD;75;;
TREE_CT_3;DET_LAZO;;;;
TREE_CT_3;DET_HUMO;DET_LAZO;58;;
TREE_CT_3;PULSADOR;DET_LAZO;59;;
TREE_CT_3;SIRENA;DET_LAZO;60;;
TREE_CT_3;CENTRAL_CT;DET_LAZO;61;;
TREE_CT_4;CONTROL;;;;
TREE_CT_4;PLC;CONTROL;27;;
TREE_CT_4;ELECTRICIDAD;;;;
TREE_CT_4;TRAFO;ELECTRICIDAD;33;;
TREE_CT_4;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_4;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_4;UPS;ELECTRICIDAD;65;;
TREE_CT_4;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_4;GE;ELECTRICIDAD;75;;
TREE_CT_4;DET_LAZO;;;;
TREE_CT_4;DET_HUMO;DET_LAZO;58;;
TREE_CT_4;PULSADOR;DET_LAZO;59;;
TREE_CT_4;SIRENA;DET_LAZO;60;;
TREE_CT_4;CENTRAL_CT;DET_LAZO;61;;
TREE_CT_5;CONTROL;;;;
TREE_CT_5;PLC;CONTROL;27;;
TREE_CT_5;ELECTRICIDAD;;;;
TREE_CT_5;TRAFO;ELECTRICIDAD;33;;
TREE_CT_5;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_5;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_5;UPS;ELECTRICIDAD;65;;
TREE_CT_5;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_5;GE;ELECTRICIDAD;75;;
TREE_CT_5;DET_LAZO;;;;
TREE_CT_5;DET_HUMO;DET_LAZO;58;;
TREE_CT_5;PULSADOR;DET_LAZO;59;;
TREE_CT_5;SIRENA;DET_LAZO;60;;
TREE_CT_5;CENTRAL_CT;DET_LAZO;61;;
TREE_CT_6;CONTROL;;;;
TREE_CT_6;PLC;CONTROL;27;;
TREE_CT_6;ELECTRICIDAD;;;;
TREE_CT_6;TRAFO;ELECTRICIDAD;33;;
TREE_CT_6;UNIFILAR;ELECTRICIDAD;56;;
TREE_CT_6;CELDA_MT;ELECTRICIDAD;57;;
TREE_CT_6;UPS;ELECTRICIDAD;65;;
TREE_CT_6;ANALIZADOR_RED;ELECTRICIDAD;70;;
TREE_CT_6;GE;ELECTRICIDAD;75;;
TREE_CT_6;DET_LAZO;;;;
TREE_CT_6;DET_HUMO;DET_LAZO;58;;
TREE_CT_6;PULSADOR;DET_LAZO;59;;
TREE_CT_6;SIRENA;DET_LAZO;60;;
