item;alias;description;sessionuid;road;stretchs;pk;sentido
1;STMI-DALI-DER-1MA;STMI-DALI-DER-1MA;STMI-DALI-DER-1MA;AP7 - AUSOL I;STMI-TUNEL;;CA
2;STMI-DALI-IZQ-1MA;STMI-DALI-IZQ-1MA;STMI-DALI-IZQ-1MA;AP7 - AUSOL I;STMI-TUNEL;;CA
3;STMI-DALI-DER-1CA;STMI-DALI-DER-1CA;STMI-DALI-DER-1CA;AP7 - AUSOL I;STMI-TUNEL;;MA
4;STMI-DALI-IZQ-1CA;STMI-DALI-IZQ-1CA;STMI-DALI-IZQ-1CA;AP7 - AUSOL I;STMI-TUNEL;;MA
5;RV-DALI-DER-2CA;RV-DALI-DER-2CA;RV-DALI-DER-2CA;AP7 - AUSOL I;RV-TUNEL;;CA
6;RV-DALI-DER-1CA;RV-DALI-DER-1CA;RV-DALI-DER-1CA;AP7 - AUSOL I;RV-TUNEL;;CA
7;RV-DALI-IZQ-2CA;RV-DALI-IZQ-2CA;RV-DALI-IZQ-2CA;AP7 - AUSOL I;RV-TUNEL;;CA
8;RV-DALI-IZQ-1CA;RV-DALI-IZQ-1CA;RV-DALI-IZQ-1CA;AP7 - AUSOL I;RV-TUNEL;;CA
9;RV-DALI-DER-2MA;RV-DALI-DER-2MA;RV-DALI-DER-2MA;AP7 - AUSOL I;RV-TUNEL;;MA
10;RV-DALI-DER-1MA;RV-DALI-DER-1MA;RV-DALI-DER-1MA;AP7 - AUSOL I;RV-TUNEL;;MA
11;RV-DALI-IZQ-2MA;RV-DALI-IZQ-2MA;RV-DALI-IZQ-2MA;AP7 - AUSOL I;RV-TUNEL;;MA
12;RV-DALI-IZQ-1MA;RV-DALI-IZQ-1MA;RV-DALI-IZQ-1MA;AP7 - AUSOL I;RV-TUNEL;;MA
21;MM-DALI-DER-1CA;MM-DALI-DER-1CA;MM-DALI-DER-1CA;AP7 - AUSOL I;MM-TUNEL;;CA
22;MM-DALI-IZQ-1CA;MM-DALI-IZQ-1CA;MM-DALI-IZQ-1CA;AP7 - AUSOL I;MM-TUNEL;;CA
23;MM-DALI-DER-2CA;MM-DALI-DER-2CA;MM-DALI-DER-2CA;AP7 - AUSOL I;MM-TUNEL;;CA
