item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;NULL; IDNG-MG-DP; IDNG-MG-DP; IDNG-MG-DP;Autovía A-4;Despeñaperros;;NA;;
2;NULL; IDNG-MG-DP; IDNG-MG-CA; IDNG-MG-CA;Autovía A-4;La Cantera;;NA;;
