item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;TANK-ALJ-1;TANK-ALJ-1;TANK-ALJ-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
2;TANK-ALJ-2;TANK-ALJ-2;TANK-ALJ-2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
3;TANK-ALJ-3;TANK-ALJ-3;TANK-ALJ-3;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
4;TANK-ALJ-4;TANK-ALJ-4;TANK-ALJ-4;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
