item;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
47;S2TS-VCH-406A;S2TS-VCH-406A;S2TS-VCH-406A;AVO;S2TS-ZON-009;Secc.02-10-04;40+485;4185;
48;IPRO-VCH-507R;IPRO-VCH-507R;IPRO-VCH-507R;AVO;IPRO-ZON-001;Secc.03-57-10;4+2;4200;
49;S2TN-VCH-409B;S2TN-VCH-409B;S2TN-VCH-409B;AVO;S2TN-ZON-039;Secc.03-11-11;40+685;4385;
50;S2TN-VCH-409A;S2TN-VCH-409A;S2TN-VCH-409A;AVO;S2TN-ZON-039;Secc.03-11-11;40+685;4385;
51;S2TS-VCH-416B;S2TS-VCH-416B;S2TS-VCH-416B;AVO;S2TS-ZON-014;Secc.02-10-04;40+96;4660;
52;S2TS-VCH-416A;S2TS-VCH-416A;S2TS-VCH-416A;AVO;S2TS-ZON-014;Secc.02-10-04;40+96;4660;
53;S2TS-VCH-500;S2TS-VCH-500;S2TS-VCH-500;AVO;S2TS-ZON-015;Secc.02-10-04;41+22;4920;
54;S2TN-VCH-501B;S2TN-VCH-501B;S2TN-VCH-501B;AVO;S2TN-ZON-034;Secc.03-11-11;41+22;4920;
55;S2TN-VCH-501A;S2TN-VCH-501A;S2TN-VCH-501A;AVO;S2TN-ZON-034;Secc.02-10-04;41+1;4800;
56;S2TS-VCH-512;S2TS-VCH-512;S2TS-VCH-512;AVO;S2TS-ZON-017;Secc.02-10-04;41+3;5000;
57;S2TS-VCH-514;S2TS-VCH-514;S2TS-VCH-514;AVO;S2TS-ZON-017;Secc.02-10-04;41+3;5000;
58;S2TN-VCH-503B;S2TN-VCH-503B;S2TN-VCH-503B;AVO;S2TN-ZON-033;Secc.02-10-04;41+28;4980;
59;S2TN-VCH-503A;S2TN-VCH-503A;S2TN-VCH-503A;AVO;S2TN-ZON-033;Secc.02-10-04;41+28;4980;
60;S2TN-VCH-505B;S2TN-VCH-505B;S2TN-VCH-505B;AVO;S2TN-ZON-032;Secc.03-11-11;41+46;5160;
61;S2TN-VCH-505A;S2TN-VCH-505A;S2TN-VCH-505A;AVO;S2TN-ZON-032;Secc.03-11-11;41+46;5160;
62;S2TS-VCH-516B;S2TS-VCH-516B;S2TS-VCH-516B;AVO;S2TS-ZON-019;Secc.02-10-05;41+485;5185;
63;S2TS-VCH-516A;S2TS-VCH-516A;S2TS-VCH-516A;AVO;S2TS-ZON-019;Secc.02-10-05;41+485;5185;
64;ICCO-VCH-607R;ICCO-VCH-607R;ICCO-VCH-607R;AVO;ICCO-ZON-002;Secc.03-258-09;5+2;5200;
