item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-DETFLJ-PCI-1;RV-DETFLJ-PCI-1;RV-DETFLJ-PCI-1;AP7 - AUSOL I;RV-TUNEL;177+30707;CA
2;MM-DETFLJ-PCI-SC;MM-DETFLJ-PCI-SC;MM-DETFLJ-PCI-SC;AP7 - AUSOL I;MM-TUNEL;165+987;CA
3;LQ-DETFLJ-PCI-1;LQ-DETFLJ-PCI-1;LQ-DETFLJ-PCI-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
4;LQ-DETFLJ-PCI-2;LQ-DETFLJ-PCI-2;LQ-DETFLJ-PCI-2;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
5;CAS-DETFLJ-PCI-1;CAS-DETFLJ-PCI-1;CAS-DETFLJ-PCI-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
6;CAS-DETFLJ-PCI-2;CAS-DETFLJ-PCI-2;CAS-DETFLJ-PCI-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
7;CH-DETFLJ-PCI-1;CH-DETFLJ-PCI-1;CH-DETFLJ-PCI-1;AP7 - AUSOL I;CH-TUNEL;173+900;CA
8;COR-DETFLJ-PCI-1;COR-DETFLJ-PCI-1;COR-DETFLJ-PCI-1;AP7 - AUSOL II;COR-TUNEL;173+900;CA
9;NG-DETFLJ-PCI-1;NG-DETFLJ-PCI-1;NG-DETFLJ-PCI-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
10;MM-DETFLJ-PCI-SM;MM-DETFLJ-PCI-SM;MM-DETFLJ-PCI-SM;AP7 - AUSOL I;MM-TUNEL;165+987;CA
