device_name;session_uid;url_publisher;ip;port(i);offset_door_open(i);offset_overvoltage(i);offset_solar_system_alarm(i);read_permission;write_permission
RM-CAB-029;RM-CAB-029;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.6;502;2;3;4;monitor;
RM-CAB-030;RM-CAB-030;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.7;502;2;3;4;monitor;
RM-CAB-031;RM-CAB-031;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.8;502;2;3;4;monitor;
RM-CAB-032;RM-CAB-032;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.9;502;2;3;4;monitor;
RM-CAB-033;RM-CAB-033;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.10;502;2;3;4;monitor;
RM-CAB-036;RM-CAB-036;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.3;502;2;3;4;monitor;
RM-CAB-037;RM-CAB-037;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.4;502;2;3;4;monitor;
RM-CAB-038;RM-CAB-038;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.5;502;2;3;4;monitor;
RM-CAB-039;RM-CAB-039;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.6;502;2;3;4;monitor;
RM-SOL-11A;RM-SOL-11A;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.2.10;502;2;3;4;monitor;
RM-SOL-11B;RM-SOL-11B;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.2.10;502;2;3;4;monitor;
RM-SOL-19A;RM-SOL-19A;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.4.4;502;2;3;4;monitor;
RM-SOL-19B;RM-SOL-19B;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.4.4;502;2;3;4;monitor;
RM-SOL-29A;RM-SOL-29A;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.1;502;2;3;4;monitor;
RM-CAB-013;RM-CAB-013;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.2.10;502;2;3;4;monitor;
RM-CAB-014;RM-CAB-014;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.3.1;502;2;3;4;monitor;
RM-CAB-015;RM-CAB-015;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.3.2;502;2;3;4;monitor;
RM-CAB-023;RM-CAB-023;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.4.4;502;2;3;4;monitor;
RM-CAB-024;RM-CAB-024;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.1;502;2;3;4;monitor;
RM-CAB-034;RM-CAB-034;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.1;502;2;3;4;monitor;
RM-CAB-035;RM-CAB-035;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.6.2;502;2;3;4;monitor;
TOTEM-001;TOTEM-001;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.2.10;502;2;3;4;monitor;
TOTEM-002;TOTEM-002;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.4.4;502;2;3;4;monitor;
TOTEM-003;TOTEM-003;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.2;502;2;3;4;monitor;
TOTEM-004;TOTEM-004;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;10.80.5.2;502;2;3;4;monitor;
