item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;RV-CSA-RED;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;RV-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;RV-CSA-SAI;AP7 - AUSOL I;RV-TUNEL;177+317;CA
3;RV-CSB-ITS1;Sinoptico Mando y Proteccion C.S.B. ITS1;RV-CSB-ITS1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
4;RV-CSB-ITS2;Sinoptico Mando y Proteccion C.S.B. ITS2;RV-CSB-ITS2;AP7 - AUSOL I;RV-TUNEL;177+317;CA
5;RV-CSV;Sinoptico Mando y Proteccion C.S.V (Ventilacion);RV-CSV;AP7 - AUSOL I;RV-TUNEL;177+317;CA
6;RV-CSV-CA;Sinoptico Mando y Proteccion C.S.V (Ventilacion);RV-CSV-CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
7;RV-CSV-MA;Sinoptico Mando y Proteccion C.S.V (Ventilacion);RV-CSV-MA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
8;RV-CGBT;Sinoptico Mando y Proteccion C.G.B.T;RV-CGBT;AP7 - AUSOL I;RV-TUNEL;177+317;CA
9;MM-CSV-1;Sinoptico Mando y Proteccion C.S.V CA;MM-CSV-1;AP7 - AUSOL I;MM-TUNEL;166+727;CA
10;MM-CSV-2;Sinoptico Mando y Proteccion C.S.V MA;MM-CSV-2;AP7 - AUSOL I;MM-TUNEL;166+727;MA
11;LQ-CS-ITS1;Sinoptico Mando y Proteccion C.S. ITS1;LQ-CS-ITS1;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
12;LQ-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;LQ-CSA-SAI;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
13;LQ-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;LQ-CSA-RED;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
14;LQ-CSV-TSM;Sinoptico Mando y Proteccion C.S.V TSM;LQ-CSV-TSM;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
15;LQ-CSV-TSC;Sinoptico Mando y Proteccion C.S.V TSC;LQ-CSV-TSC;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
16;STMI-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;STMI-CSA-RED;AP7 - AUSOL I;STMI-TUNEL;150+245;CA
17;STMI-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;STMI-CSA-SAI;AP7 - AUSOL I;STMI-TUNEL;150+245;CA
18;STMI-CS-ITS;Sinoptico Mando y Proteccion C.S.B ITS;STMI-CS-ITS;AP7 - AUSOL I;STMI-TUNEL;150+245;CA
19;STMI-INSTAL-FV;Sinoptico Mando y Proteccion C.S.A RED;STMI-INSTAL-FV;AP7 - AUSOL I;STMI-TUNEL;150+245;CA
20;MM-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;MM-CSA-SAI;AP7 - AUSOL I;MM-TUNEL;166+727;CA
21;LQ-CSA;Sinoptico Mando y Proteccion C.S.A;LQ-CSA;AP7 - AUSOL I;LQ-TUNEL;16+980;CA
22;MM-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;MM-CSA-RED;AP7 - AUSOL I;MM-TUNEL;166+727;MA
23;MM-CS-ITS1;Sinoptico Mando y Proteccion C.S.B. ITS1;MM-CS-ITS1;AP7 - AUSOL I;MM-TUNEL;166+727;CA
24;MM-CS-ITS2;Sinoptico Mando y Proteccion C.S.B. ITS2;MM-CS-ITS2;AP7 - AUSOL I;MM-TUNEL;166+727;MA
25;STM2-CSV-CA;Sinoptico Mando y Proteccion C.S.V TSC;STM2-CSV-CA;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
26;STM2-CSV-MA;Sinoptico Mando y Proteccion C.S.V TSM;STM2-CSV-MA;AP7 - AUSOL II;STMII-TUNEL;150+787;MA
27;STMI-CSA;Sinoptico Mando y Proteccion C.S.A;STMI-CSA;AP7 - AUSOL I;STMI-TUNEL;150+787;CA
28;CH-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;CH-CSA-SAI;AP7 - AUSOL I;CH-TUNEL;166+727;CA
29;CH-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;CH-CSA-RED;AP7 - AUSOL I;CH-TUNEL;166+727;MA
30;CH-CGBT;Sinoptico Mando y Proteccion C.G.B.T;CH-CGBT;AP7 - AUSOL I;CH-TUNEL;177+317;CA
31;CH-CSB-ITS1;Sinoptico Mando y Proteccion C.S.B. ITS1;CH-CSB-ITS1;AP7 - AUSOL I;CH-TUNEL;177+317;CA
32;CH-CSB-ITS2;Sinoptico Mando y Proteccion C.S.B. ITS2;CH-CSB-ITS2;AP7 - AUSOL I;CH-TUNEL;177+317;CA
33;CH-CSV-TSM;Sinoptico Mando y Proteccion C.S.V TSM (Ventilacion);CH-CSV-TSM;AP7 - AUSOL I;CH-TUNEL;16+980;CA
34;CH-CSV-TSC;Sinoptico Mando y Proteccion C.S.V TSC (Ventilacion);CH-CSV-TSC;AP7 - AUSOL I;CH-TUNEL;16+980;CA
35;CAS-CSV-A;Sinoptico Mando y Proteccion C.S.V A (Ventilacion);CAS-CSV-A;AP7 - AUSOL II;CAS-TUNEL;151+756;CA
36;CAS-CSV-B;Sinoptico Mando y Proteccion C.S.V B (Ventilacion);CAS-CSV-B;AP7 - AUSOL II;CAS-TUNEL;151+756;CA
38;COR-CSV;Sinoptico Mando y Proteccion C.S.V (Ventilacion);COR-CSV;AP7 - AUSOL II;COR-TUNEL;151+756;CA
39;CAS-CSA-SAI-A;Sinoptico Mando y Proteccion C.S.A SAI;CAS-CSA-SAI-A;AP7 - AUSOL I;CAS-TUNEL;166+727;CA
40;CAS-CSA-SAI-B;Sinoptico Mando y Proteccion C.S.A SAI;CAS-CSA-SAI-B;AP7 - AUSOL I;CAS-TUNEL;166+727;CA
41;CAS-CSA-RED-A;Sinoptico Mando y Proteccion C.S.A RED;CAS-CSA-RED-A;AP7 - AUSOL I;CAS-TUNEL;166+727;MA
42;CAS-CSA-RED-B;Sinoptico Mando y Proteccion C.S.A RED;CAS-CSA-RED-B;AP7 - AUSOL I;CAS-TUNEL;166+727;MA
43;CAS-CSB-ITS1-A;Sinoptico Mando y Proteccion C.S.B. ITS1;CAS-CSB-ITS1-A;AP7 - AUSOL I;CAS-TUNEL;177+317;CA
44;CAS-CSB-ITS1-B;Sinoptico Mando y Proteccion C.S.B. ITS1;CAS-CSB-ITS1-B;AP7 - AUSOL I;CAS-TUNEL;177+317;CA
45;CAS-CSG-A;Sinoptico Mando y Proteccion C.S.A SAI;CAS-CSG-A;AP7 - AUSOL I;CAS-TUNEL;166+727;CA
46;CAS-CSG-B;Sinoptico Mando y Proteccion C.S.A SAI;CAS-CSG-B;AP7 - AUSOL I;CAS-TUNEL;166+727;CA
47;STM2-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;STM2-CSA-RED;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
48;STM2-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;STM2-CSA-SAI;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
49;STM2-CSB-ITS1;Sinoptico Mando y Proteccion C.S.B. ITS1;STM2-CSB-ITS1;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
50;STM2-CSB-ITS2;Sinoptico Mando y Proteccion C.S.B. ITS2;STM2-CSB-ITS2;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
51;STM2-CSG;Sinoptico Mando y Proteccion C.S.G;STM2-CSG;AP7 - AUSOL II;STMII-TUNEL;150+243;CA
52;EST-CSA-SAI;Sinoptico Mando y Proteccion C.S.A SAI;EST-CSA-SAI;AP7 - AUSOL II;EST-TUNEL;166+727;CA
53;EST-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;EST-CSA-RED;AP7 - AUSOL II;EST-TUNEL;166+727;MA
54;EST-CSB-ITS1;Sinoptico Mando y Proteccion C.S.B. ITS1;EST-CSB-ITS1;AP7 - AUSOL II;EST-TUNEL;177+317;CA
55;COR-CSA-RED-A;Sinoptico Mando y Proteccion C.S.A;COR-CSA-RED-A;AP7 - AUSOL II;COR-TUNEL;151+756;CA
56;COR-CSA-RED-B;Sinoptico Mando y Proteccion C.S.A;COR-CSA-RED-B;AP7 - AUSOL II;COR-TUNEL;151+756;CA
57;COR-CSA-SAI-A;Sinoptico Mando y Proteccion C.S.A;COR-CSA-SAI-A;AP7 - AUSOL II;COR-TUNEL;151+756;CA
58;COR-CSB-ITS1-A;Sinoptico Mando y Proteccion C.S.B. ITS1;COR-CSB-ITS1-A;AP7 - AUSOL II;COR-TUNEL;151+756;CA
59;COR-CSG-1;Sinoptico Mando y Proteccion C.S.A SAI;COR-CSG-1;AP7 - AUSOL II;COR-TUNEL;151+756;CA
60;COR-CSG-2;Sinoptico Mando y Proteccion C.S.A SAI;COR-CSG-2;AP7 - AUSOL II;COR-TUNEL;151+756;CA
61;COR-CSV-A-CA;Sinoptico Mando y Proteccion C.S.V A (Ventilacion);COR-CSV-A-CA;AP7 - AUSOL II;COR-TUNEL;151+756;CA
62;COR-CSV-A-MA;Sinoptico Mando y Proteccion C.S.V A (Ventilacion);COR-CSV-A-MA;AP7 - AUSOL II;COR-TUNEL;151+756;CA
63;COR-CSV-B-CA;Sinoptico Mando y Proteccion C.S.V B (Ventilacion);COR-CSV-B-CA;AP7 - AUSOL II;COR-TUNEL;151+756;CA
64;COR-CSV-B-MA;Sinoptico Mando y Proteccion C.S.V B (Ventilacion);COR-CSV-B-MA;AP7 - AUSOL II;COR-TUNEL;151+756;CA
65;COR-CSA-SAI-B;Sinoptico Mando y Proteccion C.S.A;COR-CSA-SAI-B;AP7 - AUSOL II;COR-TUNEL;151+756;CA
66;COR-CSB-ITS1-B;Sinoptico Mando y Proteccion C.S.B. ITS1;COR-CSB-ITS1-B;AP7 - AUSOL II;COR-TUNEL;151+756;CA
67;COR-CSG-3;Sinoptico Mando y Proteccion C.S.A SAI;COR-CSG-3;AP7 - AUSOL II;COR-TUNEL;151+756;CA
68;STM2-CSA;Sinoptico Mando y Proteccion C.S.A ;STM2-CSA;AP7 - AUSOL II;STMII-TUNEL;150+787;MA
69;COR-CSA-BC;Sinoptico Mando y Proteccion C.S.A;COR-CSA-BC;AP7 - AUSOL II;COR-TUNEL;151+756;CA
70;COR-CSA-BM;Sinoptico Mando y Proteccion C.S.A;COR-CSA-BM;AP7 - AUSOL II;COR-TUNEL;151+756;CA
71;NG-CSA-RED;Sinoptico Mando y Proteccion C.S.A RED;NG-CSA-RED;AP7 - AUSOL I;NG-TUNEL;177+317;CA
72;NG-CSV;NG-CSV;NG-CSV;AP7 - AUSOL I;NG-TUNEL;123+456;CA
73;NG-CSA-SAI;NG-CSA-SAI;NG-CSA-SAI;AP7 - AUSOL I;NG-TUNEL;123+456;CA
74;NG-CSB-ITS-1;NG-CSB-ITS-1;NG-CSB-ITS-1;AP7 - AUSOL I;NG-TUNEL;123+456;CA
75;NG-CS-ITS;NG-CS-ITS;NG-CS-ITS;AP7 - AUSOL I;NG-TUNEL;123+456;CA
76;NG-CS-PCI;NG-CS-PCI;NG-CS-PCI;AP7 - AUSOL I;NG-TUNEL;123+456;CA
