item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
177;INT-SOL-DER-1-ILU-NOR-4;INT-SOL-DER-1-ILU-NOR-4;INT-SOL-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
178;INT-SOL-DER-2-ILU-NOR-4;INT-SOL-DER-2-ILU-NOR-4;INT-SOL-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
179;INT-SOL-DER-3-ILU-NOR-4;INT-SOL-DER-3-ILU-NOR-4;INT-SOL-DER-3-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
180;INT-SOL-DER-4-ILU-NOR-4;INT-SOL-DER-4-ILU-NOR-4;INT-SOL-DER-4-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
181;INT-NUB-DER-1-ILU-NOR-4;INT-NUB-DER-1-ILU-NOR-4;INT-NUB-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
182;INT-NUB-DER-2-ILU-NOR-4;INT-NUB-DER-2-ILU-NOR-4;INT-NUB-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
183;INT-CREP-DER-1-ILU-NOR-4;INT-CREP-DER-1-ILU-NOR-4;INT-CREP-DER-1-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
184;INT-CREP-DER-2-ILU-NOR-4;INT-CREP-DER-2-ILU-NOR-4;INT-CREP-DER-2-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
185;INT-EXT-ENT-ILU-NOR-4;INT-EXT-ENT-ILU-NOR-4;INT-EXT-ENT-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
186;INT-EXT-SAL-ILU-NOR-4;INT-EXT-SAL-ILU-NOR-4;INT-EXT-SAL-ILU-NOR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
187;INT-Q26-ILU-SUR-4;INT-Q26-ILU-SUR-4;INT-Q26-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
188;INT-K01-ILU-SUR-4;INT-K01-ILU-SUR-4;INT-K01-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
189;INT-MANI-ILU-SUR-4;INT-MANI-ILU-SUR-4;INT-MANI-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
190;INT-SOL-IZQ-1-ILU-SUR-4;INT-SOL-IZQ-1-ILU-SUR-4;INT-SOL-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
191;INT-SOL-IZQ-2-ILU-SUR-4;INT-SOL-IZQ-2-ILU-SUR-4;INT-SOL-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
192;INT-SOL-IZQ-3-ILU-SUR-4;INT-SOL-IZQ-3-ILU-SUR-4;INT-SOL-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
193;INT-SOL-IZQ-4-ILU-SUR-4;INT-SOL-IZQ-4-ILU-SUR-4;INT-SOL-IZQ-4-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
194;INT-NUB-IZQ-1-ILU-SUR-4;INT-NUB-IZQ-1-ILU-SUR-4;INT-NUB-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
195;INT-NUB-IZQ-2-ILU-SUR-4;INT-NUB-IZQ-2-ILU-SUR-4;INT-NUB-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
196;INT-NUB-IZQ-3-ILU-SUR-4;INT-NUB-IZQ-3-ILU-SUR-4;INT-NUB-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
197;INT-NOC-IZQ-ILU-SUR-4;INT-NOC-IZQ-ILU-SUR-4;INT-NOC-IZQ-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
198;INT-CREP-IZQ-1-ILU-SUR-4;INT-CREP-IZQ-1-ILU-SUR-4;INT-CREP-IZQ-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
199;INT-CREP-IZQ-2-ILU-SUR-4;INT-CREP-IZQ-2-ILU-SUR-4;INT-CREP-IZQ-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
200;INT-CREP-IZQ-3-ILU-SUR-4;INT-CREP-IZQ-3-ILU-SUR-4;INT-CREP-IZQ-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
201;INT-SOL-DER-1-ILU-SUR-4;INT-SOL-DER-1-ILU-SUR-4;INT-SOL-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
202;INT-SOL-DER-2-ILU-SUR-4;INT-SOL-DER-2-ILU-SUR-4;INT-SOL-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
203;INT-SOL-DER-3-ILU-SUR-4;INT-SOL-DER-3-ILU-SUR-4;INT-SOL-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
204;INT-SOL-DER-4-ILU-SUR-4;INT-SOL-DER-4-ILU-SUR-4;INT-SOL-DER-4-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
205;INT-NUB-DER-1-ILU-SUR-4;INT-NUB-DER-1-ILU-SUR-4;INT-NUB-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
206;INT-NUB-DER-2-ILU-SUR-4;INT-NUB-DER-2-ILU-SUR-4;INT-NUB-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
207;INT-NUB-DER-3-ILU-SUR-4;INT-NUB-DER-3-ILU-SUR-4;INT-NUB-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
208;INT-CREP-DER-1-ILU-SUR-4;INT-CREP-DER-1-ILU-SUR-4;INT-CREP-DER-1-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
209;INT-CREP-DER-2-ILU-SUR-4;INT-CREP-DER-2-ILU-SUR-4;INT-CREP-DER-2-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
210;INT-CREP-DER-3-ILU-SUR-4;INT-CREP-DER-3-ILU-SUR-4;INT-CREP-DER-3-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
211;INT-EXT-ENT-ILU-SUR-4;INT-EXT-ENT-ILU-SUR-4;INT-EXT-ENT-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
212;INT-EXT-SAL-ILU-SUR-4;INT-EXT-SAL-ILU-SUR-4;INT-EXT-SAL-ILU-SUR-4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
213;INT-K01-CGBT-DP4;INT-K01-CGBT-DP4;INT-K01-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
214;INT-F1-CGBT-DP4;INT-F1-CGBT-DP4;INT-F1-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
215;INT-Q1-CGBT-DP4;INT-Q1-CGBT-DP4;INT-Q1-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
216;INT-Q2-CGBT-DP4;INT-Q2-CGBT-DP4;INT-Q2-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
217;INT-Q4-CGBT-DP4;INT-Q4-CGBT-DP4;INT-Q4-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
218;INT-Q5-CGBT-DP4;INT-Q5-CGBT-DP4;INT-Q5-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
219;INT-Q6-CGBT-DP4;INT-Q6-CGBT-DP4;INT-Q6-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
220;INT-Q7-CGBT-DP4;INT-Q7-CGBT-DP4;INT-Q7-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
221;INT-K02-CGBT-DP4;INT-K02-CGBT-DP4;INT-K02-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
222;INT-Q3-CGBT-DP4;INT-Q3-CGBT-DP4;INT-Q3-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
223;INT-Q8-CGBT-DP4;INT-Q8-CGBT-DP4;INT-Q8-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
224;INT-Q9-CGBT-DP4;INT-Q9-CGBT-DP4;INT-Q9-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
225;INT-F2-CGBT-DP4;INT-F2-CGBT-DP4;INT-F2-CGBT-DP4;Autovía A-4;LT4;;;ChangeMeasureHistorical.groovy
226;INT-Q1-GEN-CGBT-DP1;INT-Q1-GEN-CGBT-DP1;INT-Q1-GEN-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
227;INT-K01-GEN-CGBT-DP1;INT-K01-GEN-CGBT-DP1;INT-K01-GEN-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
228;INT-F1-CGBT-DP1;INT-F1-CGBT-DP1;INT-F1-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
229;INT-K01-RED-CGBT-DP1;INT-K01-RED-CGBT-DP1;INT-K01-RED-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
230;INT-PROT-CGBT-DP1;INT-PROT-CGBT-DP1;INT-PROT-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
231;INT-Q1-RED-CGBT-DP1;INT-Q1-RED-CGBT-DP1;INT-Q1-RED-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
232;INT-Q2-CGBT-DP1;INT-Q2-CGBT-DP1;INT-Q2-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
233;INT-Q4-CGBT-DP1;INT-Q4-CGBT-DP1;INT-Q4-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
234;INT-Q5-CGBT-DP1;INT-Q5-CGBT-DP1;INT-Q5-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
235;INT-Q6-CGBT-DP1;INT-Q6-CGBT-DP1;INT-Q6-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
236;INT-Q7-CGBT-DP1;INT-Q7-CGBT-DP1;INT-Q7-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
237;INT-K02-CGBT-DP1;INT-K02-CGBT-DP1;INT-K02-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
238;INT-Q3-CGBT-DP1;INT-Q3-CGBT-DP1;INT-Q3-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
239;INT-Q8-CGBT-DP1;INT-Q8-CGBT-DP1;INT-Q8-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
240;INT-Q9-CGBT-DP1;INT-Q9-CGBT-DP1;INT-Q9-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
241;INT-F4-CGBT-DP1;INT-F4-CGBT-DP1;INT-F4-CGBT-DP1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
243;INT-Q1-ILU-NOR-1;INT-Q1-ILU-NOR-1;INT-Q1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
244;INT-K02-ILU-NOR-1;INT-K02-ILU-NOR-1;INT-K02-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
245;INT-MANI-ILU-NOR-1;INT-MANI-ILU-NOR-1;INT-MANI-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
246;INT-SOL-IZQ-1-ILU-NOR-1;INT-SOL-IZQ-1-ILU-NOR-1;INT-SOL-IZQ-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
247;INT-SOL-IZQ-2-ILU-NOR-1;INT-SOL-IZQ-2-ILU-NOR-1;INT-SOL-IZQ-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
248;INT-SOL-IZQ-3-ILU-NOR-1;INT-SOL-IZQ-3-ILU-NOR-1;INT-SOL-IZQ-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
249;INT-SOL-IZQ-4-ILU-NOR-1;INT-SOL-IZQ-4-ILU-NOR-1;INT-SOL-IZQ-4-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
250;INT-NUB-IZQ-1-ILU-NOR-1;INT-NUB-IZQ-1-ILU-NOR-1;INT-NUB-IZQ-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
251;INT-NUB-IZQ-2-ILU-NOR-1;INT-NUB-IZQ-2-ILU-NOR-1;INT-NUB-IZQ-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
252;INT-NUB-IZQ-3-ILU-NOR-1;INT-NUB-IZQ-3-ILU-NOR-1;INT-NUB-IZQ-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
253;INT-NOC-IZQ-ILU-NOR-1;INT-NOC-IZQ-ILU-NOR-1;INT-NOC-IZQ-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
254;INT-CREP-IZQ-1-ILU-NOR-1;INT-CREP-IZQ-1-ILU-NOR-1;INT-CREP-IZQ-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
255;INT-CREP-IZQ-2-ILU-NOR-1;INT-CREP-IZQ-2-ILU-NOR-1;INT-CREP-IZQ-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
256;INT-CREP-IZQ-3-ILU-NOR-1;INT-CREP-IZQ-3-ILU-NOR-1;INT-CREP-IZQ-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
257;INT-SOL-DER-1-ILU-NOR-1;INT-SOL-DER-1-ILU-NOR-1;INT-SOL-DER-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
258;INT-SOL-DER-2-ILU-NOR-1;INT-SOL-DER-2-ILU-NOR-1;INT-SOL-DER-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
259;INT-SOL-DER-3-ILU-NOR-1;INT-SOL-DER-3-ILU-NOR-1;INT-SOL-DER-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
260;INT-SOL-DER-4-ILU-NOR-1;INT-SOL-DER-4-ILU-NOR-1;INT-SOL-DER-4-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
261;INT-NUB-DER-1-ILU-NOR-1;INT-NUB-DER-1-ILU-NOR-1;INT-NUB-DER-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
262;INT-NUB-DER-2-ILU-NOR-1;INT-NUB-DER-2-ILU-NOR-1;INT-NUB-DER-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
263;INT-NUB-DER-3-ILU-NOR-1;INT-NUB-DER-3-ILU-NOR-1;INT-NUB-DER-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
264;INT-CREP-DER-1-ILU-NOR-1;INT-CREP-DER-1-ILU-NOR-1;INT-CREP-DER-1-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
265;INT-CREP-DER-2-ILU-NOR-1;INT-CREP-DER-2-ILU-NOR-1;INT-CREP-DER-2-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
266;INT-CREP-DER-3-ILU-NOR-1;INT-CREP-DER-3-ILU-NOR-1;INT-CREP-DER-3-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
267;INT-EXT-ENT-ILU-NOR-1;INT-EXT-ENT-ILU-NOR-1;INT-EXT-ENT-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
268;INT-EXT-SAL-ILU-NOR-1;INT-EXT-SAL-ILU-NOR-1;INT-EXT-SAL-ILU-NOR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
269;INT-Q1-ILU-SUR-1;INT-Q1-ILU-SUR-1;INT-Q1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
270;INT-K01-ILU-SUR-1;INT-K01-ILU-SUR-1;INT-K01-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
271;INT-MANI-ILU-SUR-1;INT-MANI-ILU-SUR-1;INT-MANI-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
272;INT-SOL-IZQ-1-ILU-SUR-1;INT-SOL-IZQ-1-ILU-SUR-1;INT-SOL-IZQ-1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
273;INT-SOL-IZQ-2-ILU-SUR-1;INT-SOL-IZQ-2-ILU-SUR-1;INT-SOL-IZQ-2-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
274;INT-NUB-IZQ-ILU-SUR-1;INT-NUB-IZQ-ILU-SUR-1;INT-NUB-IZQ-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
275;INT-NOC-IZQ-ILU-SUR-1;INT-NOC-IZQ-ILU-SUR-1;INT-NOC-IZQ-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
276;INT-CREP-IZQ-1-ILU-SUR-1;INT-CREP-IZQ-1-ILU-SUR-1;INT-CREP-IZQ-1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
277;INT-SOL-DER-1-ILU-SUR-1;INT-SOL-DER-1-ILU-SUR-1;INT-SOL-DER-1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
278;INT-SOL-DER-2-ILU-SUR-1;INT-SOL-DER-2-ILU-SUR-1;INT-SOL-DER-2-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
279;INT-NUB-DER-1-ILU-SUR-1;INT-NUB-DER-1-ILU-SUR-1;INT-NUB-DER-1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
280;INT-CREP-DER-1-ILU-SUR-1;INT-CREP-DER-1-ILU-SUR-1;INT-CREP-DER-1-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
281;INT-EXT-ENT-ILU-SUR-1;INT-EXT-ENT-ILU-SUR-1;INT-EXT-ENT-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
282;INT-EXT-SAL-ILU-SUR-1;INT-EXT-SAL-ILU-SUR-1;INT-EXT-SAL-ILU-SUR-1;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
283;INT-L2-1-CGMT;INT-L2-1-CGMT;INT-L2-1-CGMT;Autovía A-4;LT2;;;ChangeMeasureHistorical.groovy
284;INT-L2-2-CGMT;INT-L2-2-CGMT;INT-L2-2-CGMT;Autovía A-4;LT2;;;ChangeMeasureHistorical.groovy
285;SEC-L2-2-CGMT;SEC-L2-2-CGMT;SEC-L2-2-CGMT;Autovía A-4;LT2;;;ChangeMeasureHistorical.groovy
286;INT-L2-3-CGMT;INT-L2-3-CGMT;INT-L2-3-CGMT;Autovía A-4;LT2;;;ChangeMeasureHistorical.groovy
287;INT-L3-1-CGMT;INT-L3-1-CGMT;INT-L3-1-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
288;INT-L3-2-CGMT;INT-L3-2-CGMT;INT-L3-2-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
289;SEC-L3-2-CGMT;SEC-L3-2-CGMT;SEC-L3-2-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
290;INT-L3-3-CGMT;INT-L3-3-CGMT;INT-L3-3-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
291;SEC-L3-3-CGMT;SEC-L3-3-CGMT;SEC-L3-3-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
292;INT-L3-4-CGMT;INT-L3-4-CGMT;INT-L3-4-CGMT;Autovía A-4;LT3;;;ChangeMeasureHistorical.groovy
293;INT-L1-1-CGMT;INT-L1-1-CGMT;INT-L1-1-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
294;INT-L1-2-CGMT;INT-L1-2-CGMT;INT-L1-2-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
295;INT-L1-3-CGMT;INT-L1-3-CGMT;INT-L1-3-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
296;SEC-L1-3-CGMT;SEC-L1-3-CGMT;SEC-L1-3-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
297;INT-L1-4-CGMT;INT-L1-4-CGMT;INT-L1-4-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
298;INT-L1-5-CGMT;INT-L1-5-CGMT;INT-L1-5-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
299;SEC-L1-5-CGMT;SEC-L1-5-CGMT;SEC-L1-5-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
300;INT-L1-6-CGMT;INT-L1-6-CGMT;INT-L1-6-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
301;SEC-L1-6-CGMT;SEC-L1-6-CGMT;SEC-L1-6-CGMT;Autovía A-4;LT1;;;ChangeMeasureHistorical.groovy
