item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param9_hostname;param10_user;param11_password;param12_PTZ;data_proxy
1;1;TVE-2-01-CE;TVE-2-01-CE;TVE-2-01-CE;Autovía A-44;La Cerradura;;N/A;;;;PTZ;192.168.88.201;;;;1
2;1;TVE-1-01-CE;TVE-1-01-CE;TVE-1-01-CE;Autovía A-44;La Cerradura;;N/A;;;;PTZ;192.168.88.201;;;;1
3;2;TVI-2-01-CE;TVI-2-01-CE;TVI-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;;;;192.168.88.201;;;;1
4;2;TVI-2-02-CE;TVI-2-02-CE;TVI-2-02-CE;Autovía A-44;La Cerradura;;Jaén;;;;;192.168.88.201;;;;2
5;2;TVI-1-01-CE;TVI-1-01-CE;TVI-1-01-CE;Autovía A-44;La Cerradura;;Granada;;;;;192.168.88.201;;;;1
6;2;TVI-1-02-CE;TVI-1-02-CE;TVI-1-02-CE;Autovía A-44;La Cerradura;;Granada;;;;;192.168.88.201;;;;2
7;2;TVI-3-01-CE;TVI-3-01-CE;TVI-3-01-CE;Autovía A-44;La Cerradura;;N/A;;;;;192.168.88.201;;;;1
