item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;5;EM-1-01-CZ;EM-1-01-CZ;EM-1-01-CZ;Autovía A-4;El Corzo;;;;
2;5;EM-2-01-CA;EM-2-01-CA;EM-2-01-CA;Autovía A-4;La Cantera;;;;
