item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_protocol;param4_config_json;param6_cabinet
1;2;NRLKD01L;NRLKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+335;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRKD01L
2;1;NRLKD08L;NRLKD08L;R7;R7_2:Ketelec-Dunajská Lužná;;8+762;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRKD08L
3;1;NRLKD09L;NRLKD09L;R7;R7_2:Ketelec-Dunajská Lužná;;10+557;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRKD09L
4;1;NRLKD10L;NRLKD10L;R7;R7_2:Ketelec-Dunajská Lužná;;12+352;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRKD10L
5;1;NRLKD11L;NRLKD11L;R7;R7_2:Ketelec-Dunajská Lužná;;14+147;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRKD11L
6;1;NRJS488L;NRJS488L;D4;D4_3:Ketelec-Rovinca;;9+177;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS19P
7;1;NRJS412P;NRJS412P;D4;D4_3:Ketelec-Rovinca;;9+990;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS22P
8;1;NRJS487L;NRJS487L;D4;D4_3:Ketelec-Rovinca;;10+332;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS23P
9;1;NRJS414P;NRJS414P;D4;D4_3:Ketelec-Rovinca;;10+907;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS24P
10;1;NRJS485L;NRJS485L;D4;D4_3:Ketelec-Rovinca;;11+137;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS25P
11;1;NRJS415P;NRJS415P;D4;D4_3:Ketelec-Rovinca;;11+886;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS26P
12;1;NRJS484L;NRJS484L;D4;D4_3:Ketelec-Rovinca;;12+089;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS27L
13;1;NRJS416P;NRJS416P;D4;D4_3:Ketelec-Rovinca;;12+739;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS28P
14;1;NRJS482L;NRJS482L;D4;D4_4:Rovinka-Pod.Biskupice;;13+319;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS29P
