item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;CT01-CCI-001.Z1SIR1;CT01-CCI-001.Z1SIR1;CT01-CCI-001.Z1SIR1;AVO;;Secc.01-10-14;36+920;;620
2;CT01-CCI-001.Z3SIR1;CT01-CCI-001.Z3SIR1;CT01-CCI-001.Z3SIR1;AVO;;Secc.01-10-14;36+920;;620
3;CT02-CCI-001.Z2SIR1;CT02-CCI-001.Z2SIR1;CT02-CCI-001.Z2SIR1;AVO;;Secc.01-10-01;38+048;;1748
4;CT02-CCI-001.Z2SIR2;CT02-CCI-001.Z2SIR2;CT02-CCI-001.Z2SIR2;AVO;;Secc.01-10-01;38+048;;1748
5;CT02-CCI-001.Z1SIR1;CT02-CCI-001.Z1SIR1;CT02-CCI-001.Z1SIR1;AVO;;Secc.01-10-01;38+048;;1748
6;CT02-CCI-001.Z3SIR1;CT02-CCI-001.Z3SIR1;CT02-CCI-001.Z3SIR1;AVO;;Secc.01-10-01;38+048;;1748
7;CT02-CCI-001.Z3SIR2;CT02-CCI-001.Z3SIR2;CT02-CCI-001.Z3SIR2;AVO;;Secc.01-10-01;38+048;;1748
9;CT03-CCI-001.Z1SIR2;CT03-CCI-001.Z1SIR2;CT03-CCI-001.Z1SIR2;AVO;;Secc.01-11-12;39+015;;2715
10;CT03-CCI-001.Z2SIR1;CT03-CCI-001.Z2SIR1;CT03-CCI-001.Z2SIR1;AVO;;Secc.01-11-12;39+015;;2715
11;CT03-CCI-001.Z3SIR1;CT03-CCI-001.Z3SIR1;CT03-CCI-001.Z3SIR1;AVO;;Secc.01-11-12;39+015;;2715
12;CT03-CCI-001.Z1SIR1;CT03-CCI-001.Z1SIR1;CT03-CCI-001.Z1SIR1;AVO;;Secc.01-11-12;39+015;;2715
13;CT04-CCI-001.Z1SIR1;CT04-CCI-001.Z1SIR1;CT04-CCI-001.Z1SIR1;AVO;;Secc.02-10-04;40+37;;4070
14;CT04-CCI-001.Z2SIR1;CT04-CCI-001.Z2SIR1;CT04-CCI-001.Z2SIR1;AVO;;Secc.02-10-04;40+37;;4070
15;CT04-CCI-001.Z2SIR2;CT04-CCI-001.Z2SIR2;CT04-CCI-001.Z2SIR2;AVO;;Secc.02-10-04;40+37;;4070
16;CT04-CCI-001.Z2SIR3;CT04-CCI-001.Z2SIR3;CT04-CCI-001.Z2SIR3;AVO;;Secc.02-10-04;40+37;;4070
17;CT04-CCI-001.Z2SIR4;CT04-CCI-001.Z2SIR4;CT04-CCI-001.Z2SIR4;AVO;;Secc.02-10-04;40+37;;4070
18;CT05-CCI-001.Z2SIR2;CT05-CCI-001.Z2SIR2;CT05-CCI-001.Z2SIR2;AVO;;Secc.03-11-11;41+415;;5115
19;CT05-CCI-001.Z2SIR3;CT05-CCI-001.Z2SIR3;CT05-CCI-001.Z2SIR3;AVO;;Secc.03-11-11;41+415;;5115
20;CT05-CCI-001.Z3SIR1;CT05-CCI-001.Z3SIR1;CT05-CCI-001.Z3SIR1;AVO;;Secc.03-11-11;41+415;;5115
21;CT05-CCI-001.Z2SIR4;CT05-CCI-001.Z2SIR4;CT05-CCI-001.Z2SIR4;AVO;;Secc.03-11-11;41+415;;5115
22;CT05-CCI-001.Z2SIR1;CT05-CCI-001.Z2SIR1;CT05-CCI-001.Z2SIR1;AVO;;Secc.03-11-11;41+415;;5115
23;CT05-CCI-001.Z1SIR1;CT05-CCI-001.Z1SIR1;CT05-CCI-001.Z1SIR1;AVO;;Secc.03-11-11;41+415;;5115
24;CT06-CCI-001.Z5SIR1;CT06-CCI-001.Z5SIR1;CT06-CCI-001.Z5SIR1;AVO;;Secc.02-10-05;42+58;;6280
25;CT06-CCI-001.Z4SIR1;CT06-CCI-001.Z4SIR1;CT06-CCI-001.Z4SIR1;AVO;;Secc.02-10-05;42+58;;6280
26;CT06-CCI-001.Z3SIR1;CT06-CCI-001.Z3SIR1;CT06-CCI-001.Z3SIR1;AVO;;Secc.02-10-05;42+58;;6280
27;CT06-CCI-001.Z2SIR2;CT06-CCI-001.Z2SIR2;CT06-CCI-001.Z2SIR2;AVO;;Secc.02-10-05;42+58;;6280
