device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_pump_on(i);offset_alarm_pump_no_operation(i)
RV-BEL-1;RV-BEL-1;RV-CTITS;192.168.88.189;1502;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;11;13
MM-BEL-1;MM-BEL-1;MM-CTGBT;192.168.88.189;1503;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;147;149
