device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command
STMI-TV-1CA;STMI-TV-1CA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
STMI-TV-2CA;STMI-TV-2CA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
STMI-TV-1MA;STMI-TV-1MA;18;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
STMI-TV-2MA;STMI-TV-2MA;19;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-1CA;LQ-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-2CA;LQ-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-3CA;LQ-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-4CA;LQ-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-5CA;LQ-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-6CA;LQ-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-7CA;LQ-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
