device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
LQ-MAGDIF-BF11;LQ-MAGDIF-BF11;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;3;monitor;
LQ-MAGDIF-BF13-2;LQ-MAGDIF-BF13-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;5;monitor;
LQ-MAGDIF-BF13-3;LQ-MAGDIF-BF13-3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;6;monitor;
LQ-MAGDIF-BF13-4;LQ-MAGDIF-BF13-4;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;7;monitor;
LQ-MAGDIF-BF13-5;LQ-MAGDIF-BF13-5;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;9;monitor;
LQ-MAGDIF-BF13-6;LQ-MAGDIF-BF13-6;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;10;monitor;
LQ-MAGDIF-BF13-7;LQ-MAGDIF-BF13-7;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;11;monitor;
LQ-MAGDIF-BF13-1;LQ-MAGDIF-BF13-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;12;monitor;
LQ-MAGDIF-BF14-2;LQ-MAGDIF-BF14-2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;13;monitor;
LQ-MAGDIF-BF14-3;LQ-MAGDIF-BF14-3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;14;monitor;
LQ-MAGDIF-BF14-4;LQ-MAGDIF-BF14-4;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;15;monitor;
LQ-MAGDIF-BF14-5;LQ-MAGDIF-BF14-5;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;16;monitor;
LQ-MAGDIF-BF15;LQ-MAGDIF-BF15;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;18;monitor;
LQ-CONT-BARR-BF15;LQ-CONT-BARR-BF15;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;19;monitor;
LQ-CONT-BARR-BF16;LQ-CONT-BARR-BF16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;21;monitor;
LQ-MAGDIF-BF16;LQ-MAGDIF-BF16;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;20;monitor;
LQ-MAGDIF-DET1-LAZO;LQ-MAGDIF-DET1-LAZO;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;22;monitor;
LQ-MAGDIF-METEO;LQ-MAGDIF-METEO;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;23;monitor;
LQ-MAGDIF-BF20;LQ-MAGDIF-BF20;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;24;monitor;
LQ-MAGDIF-BF21;LQ-MAGDIF-BF21;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;25;monitor;
