device_name;session_uid;url_status;url_send_text;url_send_alternant;url_shutdown;url_publisher;host;read_permission;write_permission
RV-PMV-5MA;RV-PMV-5MA;http:\/\/192.168.88.163:6000\/status;http:\/\/192.168.88.163:6000\/send_text;http:\/\/192.168.88.163:6000\/send_alternant;http:\/\/192.168.88.163:6000\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6000;monitor;
RV-PMV-6CA;RV-PMV-6CA;http:\/\/192.168.88.163:6001\/status;http:\/\/192.168.88.163:6001\/send_text;http:\/\/192.168.88.163:6001\/send_alternant;http:\/\/192.168.88.163:6001\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6001;monitor;
MM-PMV-1MA;MM-PMV-1MA;http:\/\/192.168.88.163:6002\/status;http:\/\/192.168.88.163:6002\/send_text;http:\/\/192.168.88.163:6002\/send_alternant;http:\/\/192.168.88.163:6002\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6002;monitor;
MM-PMV-2CA;MM-PMV-2CA;http:\/\/192.168.88.163:6003\/status;http:\/\/192.168.88.163:6003\/send_text;http:\/\/192.168.88.163:6003\/send_alternant;http:\/\/192.168.88.163:6003\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6003;monitor;
LQ-PMV-4CA;LQ-PMV-4CA;http:\/\/192.168.88.163:6006\/status;http:\/\/192.168.88.163:6006\/send_text;http:\/\/192.168.88.163:6006\/send_alternant;http:\/\/192.168.88.163:6006\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6006;monitor;
LQ-PMV-3MA;LQ-PMV-3MA;http:\/\/192.168.88.163:6007\/status;http:\/\/192.168.88.163:6007\/send_text;http:\/\/192.168.88.163:6007\/send_alternant;http:\/\/192.168.88.163:6007\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6007;monitor;
CH-PMV-6CA;CH-PMV-6CA;http:\/\/192.168.88.163:6008\/status;http:\/\/192.168.88.163:6008\/send_text;http:\/\/192.168.88.163:6008\/send_alternant;http:\/\/192.168.88.163:6008\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6008;monitor;
CH-PMV-5CA;CH-PMV-5CA;http:\/\/192.168.88.163:6009\/status;http:\/\/192.168.88.163:6009\/send_text;http:\/\/192.168.88.163:6009\/send_alternant;http:\/\/192.168.88.163:6008\/send_shutdown;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;192.168.88.163:6009;monitor;
