device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_alarm_zone(i);offset_fiber_fault(i);offset_avg_temperature(i);offset_max_temperature(i);offset_min_temperature(i);offset_commstatus(i)
CH-ZI-4MA;CH-ZI-4MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1036;1044;1056;1056;1056;1228
CH-ZI-3MA;CH-ZI-3MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1037;1045;1058;1058;1058;1229
CH-ZI-2MA;CH-ZI-2MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1038;1046;1060;1060;1060;1230
CH-ZI-1MA;CH-ZI-1MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;monitor;1039;1047;1062;1062;1062;1231
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
MM-ZI-1MA;MM-ZI-1MA;;;;;;;;;;
MM-ZI-2MA;MM-ZI-2MA;;;;;;;;;;
MM-ZI-3MA;MM-ZI-3MA;;;;;;;;;;
MM-ZI-4MA;MM-ZI-4MA;;;;;;;;;;
MM-ZI-5MA;MM-ZI-5MA;;;;;;;;;;
MM-ZI-6MA;MM-ZI-6MA;;;;;;;;;;
MM-ZI-7MA;MM-ZI-7MA;;;;;;;;;;
MM-ZI-8MA;MM-ZI-8MA;;;;;;;;;;
