device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_leak_water(i)
RV-DETFLJ-PCI-1;RV-DETFLJ-PCI-1;RV-CTITS;192.168.88.199;1037;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;20
MM-DETFLJ-PCI-1;MM-DETFLJ-PCI-1;MM-CTGBT;192.168.88.199;1146;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;20
