device_name;session_uid;eru_name;url_publisher;offset_grp_corriente_fase_1(i);offset_grp_corriente_fase_2(i);offset_grp_corriente_fase_3(i);offset_grp_vol_gen_L1_N(i);offset_grp_vol_gen_L2_N(i);offset_grp_vol_gen_L3_N(i);offset_grp_frecuencia_salida(i);offset_grp_horas_tot_marcha(i);offset_grp_kwh(i);offset_grp_rpm_generador(i);offset_grp_tension_bateria(i);offset_grp_tension_salida_gen(i);offset_grp_gas_level(i);offset_grp_temp_rad(i);offset_grp_modo_operacion_off(i);offset_grp_modo_operacion_man(i);offset_grp_modo_operacion_aut(i);offset_grp_alarma_temperatura(i);offset_grp_alarma_general(i);offset_grp_motor_encendido(i);offset_grp_nivel_combust_rsv(i);offset_comm_status(i);offset_low_level(i);offset_low_level_critic(i)
RV-GEL-1CA;RV-GEL-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16707;16708;16709;16701;16702;16703;16711;16715;16717;16712;16700;16710;16714;16713;37;38;39;34;32;35;31;36;15502;15503
MM-GEL-1CA;MM-GEL-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16807;16808;16809;16801;16802;16803;16811;16815;16817;16812;16800;16810;16814;16813;37;38;39;34;32;35;31;36;15502;15503
STMI-GEL-1CA;STMI-GEL-1CA;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16707;16708;16709;16701;16702;16703;16711;16715;16717;16712;16700;16710;16714;16713;37;38;39;34;32;35;31;36;15502;15503
LQ-GEL-1MA;LQ-GEL-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16907;16908;16909;16901;16902;16903;16911;16915;16917;16912;16900;16910;16914;16913;37;38;39;34;32;35;31;36;15502;15503
CH-GEL-1CA;CH-GEL-1CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16707;16708;16709;16701;16702;16703;16711;16715;16717;16712;16700;16710;16714;16713;37;38;39;34;32;35;31;36;15502;15503
CAS-GEL-1MA;CAS-GEL-1MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16927;16928;16929;16921;16922;16923;16931;16935;16937;16932;16920;16930;16934;16933;87;88;89;84;82;85;81;86;15502;15503
CAS-GEL-1CA;CAS-GEL-1CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;16907;16908;16909;16901;16902;16903;16911;16915;16917;16912;16900;16910;16914;16913;67;68;69;64;62;65;61;66;15502;15503
