device_name;session_uid;ip;port(i);url_publisher;read_permission;write_permission
RV-MET-1MA;RV-MET-1MA;192.168.88.199;1030;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;
CH-MET-1MA;CH-MET-1MA;192.168.88.199;1030;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;
