device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_fan_vibration(i);offset_front_bearing(i);offset_back_bearing(i);offset_winding(i);offset_fan_state(i);offset_fan_cmd(i);offset_switch(i);offset_gear(i);offset_commstatus(i);offset_winding_sensor(i)
RV-VENT-VF1-CA;RV-VENT-VF1-CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16606;16620;16622;505;16500;25020;15504;15505;600;551
RV-VENT-VF2-CA;RV-VENT-VF2-CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;16624;16626;510;16501;25021;15506;15507;601;552
RV-VENT-VF3-CA;RV-VENT-VF3-CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16610;16628;16630;515;16502;25022;15508;15509;602;553
RV-VENT-VF4-CA;RV-VENT-VF4-CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16612;16632;16634;520;16503;25023;15510;15511;603;554
RV-VENT-VF1-MA;RV-VENT-VF1-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16642;16660;16662;525;16504;25024;15512;15513;604;555
RV-VENT-VF2-MA;RV-VENT-VF2-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16644;16664;16666;530;16505;25025;15514;15515;605;556
RV-VENT-VF3-MA;RV-VENT-VF3-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16646;16668;16670;535;16506;25026;15516;15517;606;557
RV-VENT-VF4-MA;RV-VENT-VF4-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16648;16672;16674;540;16507;25027;15518;15519;607;558
RV-VENT-VF5-MA;RV-VENT-VF5-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16650;16676;16678;545;16508;25028;15520;15521;608;559
RV-VENT-VF6-MA;RV-VENT-VF6-MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16652;16680;16682;550;16509;25029;15522;15523;609;560
MM-VENT-VF1-CA;MM-VENT-VF1-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16736;16740;16742;15576;16500;25020;15548;15549;600;15590
MM-VENT-VF2-CA;MM-VENT-VF2-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16738;16744;16746;15577;16501;25021;15550;15551;602;15591
MM-VENT-VF3-CA;MM-VENT-VF3-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16622;16634;16636;15578;16502;25022;15552;15553;604;15592
MM-VENT-VF4-CA;MM-VENT-VF4-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16620;16630;16632;15579;16503;25023;15554;15555;606;15593
MM-VENT-VF5-CA;MM-VENT-VF5-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16618;16626;16628;15580;16504;25024;15556;15557;608;15594
MM-VENT-VF6-CA;MM-VENT-VF6-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16650;16660;16662;15581;16505;25025;15558;15559;610;15595
MM-VENT-VF7-CA;MM-VENT-VF7-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16648;16656;16658;15582;16506;25026;15560;15561;612;15596
MM-VENT-VF8-CA;MM-VENT-VF8-CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16646;16652;16654;15583;16507;25027;15562;15563;614;15597
MM-VENT-VF1-MA;MM-VENT-VF1-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16678;16688;16690;15584;16508;25028;15564;15565;616;15598
MM-VENT-VF2-MA;MM-VENT-VF2-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16680;16692;16694;15585;16509;25029;15566;15567;618;15599
MM-VENT-VF3-MA;MM-VENT-VF3-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16682;16696;16698;15586;16510;25030;15568;15569;620;15600
MM-VENT-VF4-MA;MM-VENT-VF4-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16684;16700;16702;15587;16511;25031;15570;15571;622;15601
MM-VENT-VF5-MA;MM-VENT-VF5-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16686;16704;16706;15588;16512;25032;15572;15573;624;15602
