device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_sem_state(i);offset_status(i)
RV-SMF-RAV-1CA;RV-SMF-RAV-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;304
RV-SMF-RAV-1MA;RV-SMF-RAV-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;301
MM-SMF-RAV-1CA;MM-SMF-RAV-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;304
MM-SMF-RAV-1MA;MM-SMF-RAV-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;301
STMI-SMF-RAV-1CA;STMI-SMF-RAV-1CA;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;301
STMI-SMF-RAV-1MA;STMI-SMF-RAV-1MA;STMI-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;304
LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;304
LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;301
CH-SEM-RAV-SM;CH-SEM-RAV-SM;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;304
CH-SEM-RAV-SC;CH-SEM-RAV-SC;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;301
CAS-SEM-RAV-1CA;CAS-SEM-RAV-1CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25007;403
CAS-SEM-RAV-2CA;CAS-SEM-RAV-2CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25009;405
CAS-SEM-RAV-3CA;CAS-SEM-RAV-3CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25010;406
CAS-SEM-RAV-4CA;CAS-SEM-RAV-4CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25011;407
CAS-SEM-RAV-1MA;CAS-SEM-RAV-1MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25012;408
CAS-SEM-RAV-2MA;CAS-SEM-RAV-2MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;400
CAS-SEM-RAV-3MA;CAS-SEM-RAV-3MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;401
CAS-SEM-RAV-4MA;CAS-SEM-RAV-4MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25006;402
COR-SEM-RAV-1MA;COR-SEM-RAV-1MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25010;406
COR-SEM-RAV-2MA;COR-SEM-RAV-2MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25004;400
COR-SEM-RAV-3MA;COR-SEM-RAV-3MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25005;401
COR-SEM-RAV-1CA;COR-SEM-RAV-1CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25006;402
COR-SEM-RAV-2CA;COR-SEM-RAV-2CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25008;404
COR-SEM-RAV-3CA;COR-SEM-RAV-3CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;25009;405
