device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
RV-NO-1CA;RV-NO-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16602;701;15500;101
RV-NO-1MA;RV-NO-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16638;719;15501;119
MM-NO-1CA;MM-NO-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16602;701;15500;149
MM-NO-2CA;MM-NO-2CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16614;707;15501;155
MM-NO-3CA;MM-NO-3CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16640;720;15502;168
MM-NO-1MA;MM-NO-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16666;733;15503;181
MM-NO-2MA;MM-NO-2MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16710;755;15504;203
MM-NO-3MA;MM-NO-3MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16724;762;15505;210
LQ-NO-1CA;LQ-NO-1CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16716;758;15516;158
LQ-NO-2CA;LQ-NO-2CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16742;771;15521;171
LQ-NO-3CA;LQ-NO-3CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16774;787;15530;187
LQ-NO-4CA;LQ-NO-4CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16806;803;15539;203
LQ-NO-5CA;LQ-NO-5CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16814;807;15540;207
LQ-NO-1MA;LQ-NO-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16602;701;15500;101
LQ-NO-2MA;LQ-NO-2MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16680;740;15509;140
LQ-NO-3MA;LQ-NO-3MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16688;744;15510;144
LQ-NO-4MA;LQ-NO-4MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16708;754;15515;154
CH-NO-1CA;CH-NO-1CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16698;749;15604;149
CH-NO-2CA;CH-NO-2CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16704;752;15605;152
CH-NO-3CA;CH-NO-3CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16710;755;15606;155
CH-NO-1MA;CH-NO-1MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16716;758;15607;158
