device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RV-PLCSI-1CA;RV-PLCSI-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
RV-PLCSI-1MA;RV-PLCSI-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
RV-PLCL-1;RV-PLCL-1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
RV-PLC-CGBT;RV-PLC-CGBT;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCL-1;MM-PLCL-1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLC-CGBT;MM-PLC-CGBT;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-1CA;MM-PLCSI-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-2CA;MM-PLCSI-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-3CA;MM-PLCSI-3CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCG-CA;MM-PLCG-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCE-CA;MM-PLCE-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-1MA;MM-PLCSI-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-2MA;MM-PLCSI-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
MM-PLCSI-3MA;MM-PLCSI-3MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
STMI-PLCSI-1CA;STMI-PLCSI-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
STMI-PLCSI-1MA;STMI-PLCSI-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
STMI-PLCL-1;STMI-PLCL-1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
STMI-PLC-CGBT;STMI-PLC-CGBT;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
STMI-PLCE-1CA;STMI-PLCE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCL-1;CH-PLCL-1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLC-CGBT;CH-PLC-CGBT;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-1CA;CH-PLCSI-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-2CA;CH-PLCSI-2CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-3CA;CH-PLCSI-3CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCG-CA;CH-PLCG-CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCE-1MA;CH-PLCE-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCE-1CA;CH-PLCE-1CA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-1MA;CH-PLCSI-1MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-2MA;CH-PLCSI-2MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
CH-PLCSI-3MA;CH-PLCSI-3MA;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;'http://192.168.88.118'
