device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);offset_state_cmd(i);read_permission;write_permission
RV-CONT-A11;RV-CONT-A11;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15524;18000;;
RV-CONT-A13;RV-CONT-A13;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15525;18001;;
RV-CONT-A10;RV-CONT-A10;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15526;18002;;
RV-CONT-A12;RV-CONT-A12;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15527;18003;;
RV-CONT-A4;RV-CONT-A4;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15528;18004;;
RV-CONT-A6;RV-CONT-A6;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15529;18005;;
RV-CONT-A3;RV-CONT-A3;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15530;18006;;
RV-CONT-A5;RV-CONT-A5;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15531;18007;;
RV-CONT-RED-RV1;RV-CONT-RED-RV1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15532;18008;;
RV-CONT-RED-RV2;RV-CONT-RED-RV2;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15533;18009;;
RV-CONT-RED-RV3;RV-CONT-RED-RV3;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15534;18010;;
RV-CONT-AA9-SC;RV-CONT-AA9-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15535;18011;;
RV-CONT-AA8-SC;RV-CONT-AA8-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15536;18012;;
RV-CONT-AA2-SM;RV-CONT-AA2-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15537;18013;;
RV-CONT-AA1-SM;RV-CONT-AA1-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15538;18014;;
RV-CONT-AE7-SM;RV-CONT-AE7-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15539;18015;;
RV-CONT-AE14-SC;RV-CONT-AE14-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15540;18016;;
RV-CONT-AE15-SC;RV-CONT-AE15-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15541;18017;;
RV-CONT-AE16-SM;RV-CONT-AE16-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15542;18018;;
RV-CONT-A15-SC;RV-CONT-A15-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15543;18019;;
RV-CONT-A16-SC;RV-CONT-A16-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15544;18020;;
RV-CONT-A17-SM;RV-CONT-A17-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15545;18021;;
RV-CONT-A18-SM;RV-CONT-A18-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;RV-ERU;192.168.88.119;28013;15546;18022;;
MM-CONT-A9-SC;MM-CONT-A9-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15524;18000;;
MM-CONT-A11-SC;MM-CONT-A11-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15525;18001;;
MM-CONT-A12-SC;MM-CONT-A12-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15526;18002;;
MM-CONT-A14-SC;MM-CONT-A14-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15527;18003;;
MM-CONT-A4-SM;MM-CONT-A4-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15528;18004;;
MM-CONT-A6-SM;MM-CONT-A6-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15529;18005;;
MM-CONT-A3-SM;MM-CONT-A3-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15530;18006;;
MM-CONT-A5-SM;MM-CONT-A5-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15531;18007;;
MM-CONT-RED-RV1;MM-CONT-RED-RV1;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15532;18008;;
MM-CONT-RED-RV2;MM-CONT-RED-RV2;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15533;18009;;
MM-CONT-RED-RV3;MM-CONT-RED-RV3;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15534;18010;;
MM-CONT-AA7-SC;MM-CONT-AA7-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15535;18011;;
MM-CONT-AA10-SC;MM-CONT-AA10-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15536;18012;;
MM-CONT-AA2-SM;MM-CONT-AA2-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15537;18013;;
MM-CONT-AA1-SM;MM-CONT-AA1-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15538;18014;;
MM-CONT-AE13-SM;MM-CONT-AE13-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15539;18015;;
MM-CONT-AE16-SC;MM-CONT-AE16-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15540;18016;;
MM-CONT-AE17-SC;MM-CONT-AE17-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15541;18017;;
MM-CONT-AE18-SM;MM-CONT-AE18-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15542;18018;;
MM-CONT-A17-SC;MM-CONT-A17-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15543;18019;;
MM-CONT-A18-SC;MM-CONT-A18-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15544;18020;;
MM-CONT-A19-SM;MM-CONT-A19-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15545;18021;;
MM-CONT-A20-SM;MM-CONT-A20-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;MM-ERU;192.168.88.119;28014;15546;18022;;
STMI-CONT-AA1-SC;STMI-CONT-AA1-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15502;18000;;
STMI-CONT-AA2-SC;STMI-CONT-AA2-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15503;18001;;
STMI-CONT-AA6-SM;STMI-CONT-AA6-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15504;18002;;
STMI-CONT-AA7-SM;STMI-CONT-AA7-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15505;18003;;
STMI-CONT-AE5-SC;STMI-CONT-AE5-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15506;18004;;
STMI-CONT-AE10-SM;STMI-CONT-AE10-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15507;18005;;
STMI-CONT-AE11-SM;STMI-CONT-AE11-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15508;18006;;
STMI-CONT-AE12-SC;STMI-CONT-AE12-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15509;18007;;
STMI-CONT-A11;STMI-CONT-A11;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15510;18008;;
STMI-CONT-A12;STMI-CONT-A12;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15511;18009;;
STMI-CONT-A13;STMI-CONT-A13;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15512;18010;;
STMI-CONT-A14;STMI-CONT-A14;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15513;18011;;
STMI-CONT-A3-SC;STMI-CONT-A3-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15514;18012;;
STMI-CONT-A4-SC;STMI-CONT-A4-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15515;18013;;
STMI-CONT-A8-SM;STMI-CONT-A8-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15516;18014;;
STMI-CONT-A9-SM;STMI-CONT-A9-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;STMI-ERU;192.168.88.119;28015;15517;18015;;
LQ-CONT-AA1-SC;LQ-CONT-AA1-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15597;18000;;
LQ-CONT-AA15-SC;LQ-CONT-AA15-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15598;18001;;
LQ-CONT-AA2-SC;LQ-CONT-AA2-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15599;18002;;
LQ-CONT-AA16-SC;LQ-CONT-AA16-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15600;18003;;
LQ-CONT-AA11-SM;LQ-CONT-AA11-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15601;18004;;
LQ-CONT-AA21-SM;LQ-CONT-AA21-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15602;18005;;
LQ-CONT-AA10-SM;LQ-CONT-AA10-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15603;18006;;
LQ-CONT-AA20-SM;LQ-CONT-AA20-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15604;18007;;
LQ-CONT-AE14-SM;LQ-CONT-AE14-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15605;18008;;
