device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
RV-OPC-1CA;RV-OPC-1CA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16604;702;15500;102
RV-OPC-1MA;RV-OPC-1MA;RV-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16640;720;15501;120
MM-OPC-1CA;MM-OPC-1CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16604;702;15500;102
MM-OPC-2CA;MM-OPC-2CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16616;708;15501;108
MM-OPC-3CA;MM-OPC-3CA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16642;721;15502;121
MM-OPC-1MA;MM-OPC-1MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16668;734;15503;134
MM-OPC-2MA;MM-OPC-2MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16712;756;15504;156
MM-OPC-3MA;MM-OPC-3MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16726;763;15505;163
LQ-OPC-1CA;LQ-OPC-1CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16718;759;15516;159
LQ-OPC-2CA;LQ-OPC-2CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16744;772;15521;172
LQ-OPC-3CA;LQ-OPC-3CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16776;788;15530;188
LQ-OPC-4CA;LQ-OPC-4CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16808;804;15539;204
LQ-OPC-5CA;LQ-OPC-5CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16816;808;15540;208
LQ-OPC-1MA;LQ-OPC-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16604;702;15500;102
LQ-OPC-2MA;LQ-OPC-2MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16682;741;15509;141
LQ-OPC-3MA;LQ-OPC-3MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16690;745;15510;145
LQ-OPC-4MA;LQ-OPC-4MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16710;755;15515;155
CH-OPC-1CA;CH-OPC-1CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16700;750;15604;150
CH-OPC-2CA;CH-OPC-2CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16706;753;15605;153
