item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;TUN-CGBT-1;TUN-CGBT-1;TUN-CGBT-1;Carretera Tunel;Carretera;173+626;CA
2;2;TUN-CITS-1;TUN-CITS-1;TUN-CITS-1;Carretera Tunel;Carretera;173+626;CA
3;2;TUN-PCI-1;TUN-PCI-1;TUN-PCI-1;Carretera Tunel;Carretera;173+626;CA
4;2;TUN-CBT;TUN-CBT;TUN-CBT;Carretera Tunel;Carretera;173+626;CA
