item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_group_id
1;LQ-MEG-GR-TUNEL;LQ-MEG-GR-TUNEL;LQ-MEG-GR-TUNEL;Carretera Tunel;Carretera;172+100;CA;2
2;LQ-MEG-GR-TSC;LQ-MEG-GR-TSC;LQ-MEG-GR-TSC;Carretera Tunel;Carretera;172+100;CA;21
3;LQ-MEG-GR-TSM;LQ-MEG-GR-TSM;LQ-MEG-GR-TSM;Carretera Tunel;Carretera;172+100;CA;22
