item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;lane;on_change_measure;param1_brand;param2_model;param3_protocol;param4_config_json;param8_panel_code;dm
71;12;SCNO-AFL-002;SCNO-AFL-002;SCNO-AFL-002;AVO;SCNO-ZON-003;Secc.01-25-01;0+31;1001;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;310
72;12;SCNO-AFL-003;SCNO-AFL-003;SCNO-AFL-003;AVO;SCNO-ZON-003;Secc.01-25-01;0+31;1001;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;310
73;12;SCNO-AFL-004;SCNO-AFL-004;SCNO-AFL-004;AVO;SCNO-ZON-005;Secc.01-25-01;0+52;1001;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;520
74;12;SCNO-AFL-005;SCNO-AFL-005;SCNO-AFL-005;AVO;SCNO-ZON-005;Secc.01-25-01;0+52;1001;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;520
75;12;S1TS-AFL-007;S1TS-AFL-007;S1TS-AFL-007;AVO;S1TS-ZON-009;Secc.01-10-01;37+76;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1460
76;12;S1TS-AFL-008;S1TS-AFL-008;S1TS-AFL-008;AVO;S1TS-ZON-009;Secc.01-10-01;37+76;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1460
77;12;S1TS-AFL-009;S1TS-AFL-009;S1TS-AFL-009;AVO;S1TS-ZON-009;Secc.01-10-01;37+76;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1460
78;12;S1TS-AFL-010;S1TS-AFL-010;S1TS-AFL-010;AVO;S1TS-ZON-013;Secc.01-10-02;38+16;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1855
79;12;S1TS-AFL-011;S1TS-AFL-011;S1TS-AFL-011;AVO;S1TS-ZON-013;Secc.01-10-02;38+16;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1855
80;12;S1TS-AFL-012;S1TS-AFL-012;S1TS-AFL-012;AVO;S1TS-ZON-013;Secc.01-10-02;38+16;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1855
81;12;SAEB-AFL-001;SAEB-AFL-001;SAEB-AFL-001;AVO;SAEB-ZON-001;Secc.01-86-02;0+10;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;100
82;12;S1TS-AFL-013;S1TS-AFL-013;S1TS-AFL-013;AVO;S1TS-ZON-017;Secc.01-10-02;38+56;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2260
83;12;S1TS-AFL-014;S1TS-AFL-014;S1TS-AFL-014;AVO;S1TS-ZON-017;Secc.01-10-02;38+56;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2260
84;12;S1TS-AFL-015;S1TS-AFL-015;S1TS-AFL-015;AVO;S1TS-ZON-017;Secc.01-10-02;38+56;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2260
85;12;S1TS-AFL-016;S1TS-AFL-016;S1TS-AFL-016;AVO;S1TS-ZON-020;Secc.01-10-02;38+96;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2655
86;12;S1TS-AFL-017;S1TS-AFL-017;S1TS-AFL-017;AVO;S1TS-ZON-020;Secc.01-10-02;38+96;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2655
87;12;S1TS-AFL-018;S1TS-AFL-018;S1TS-AFL-018;AVO;S1TS-ZON-020;Secc.01-10-02;38+96;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;2655
88;12;SIGO-AFL-001;SIGO-AFL-001;SIGO-AFL-001;AVO;SIGO-ZON-001;Secc.01-14-03;1+12;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;1115
89;12;S1TN-AFL-001;S1TN-AFL-001;S1TN-AFL-001;AVO;S1TN-ZON-004;Secc.01-11-12;39+36;1003;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3055
90;12;S1TN-AFL-002;S1TN-AFL-002;S1TN-AFL-002;AVO;S1TN-ZON-004;Secc.01-11-12;39+36;1002;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3055
91;12;S1TN-AFL-003;S1TN-AFL-003;S1TN-AFL-003;AVO;S1TN-ZON-004;Secc.01-11-12;39+36;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3055
92;12;S1TS-AFL-019;S1TS-AFL-019;S1TS-AFL-019;AVO;S1TS-ZON-025;Secc.01-10-03;39+36;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3060
93;12;S1TS-AFL-020;S1TS-AFL-020;S1TS-AFL-020;AVO;S1TS-ZON-025;Secc.01-10-03;39+36;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3060
