item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param2_entrance_tunnel_distance
1;LQ-CO-1CA;LQ-CO-1CA;LQ-CO-1CA;Carretera Tunel;Carretera;172+100;CA;SendValuesToVentilation.groovy;0
2;LQ-CO-2CA;LQ-CO-2CA;LQ-CO-2CA;Carretera Tunel;Carretera;172+100;CA;SendValuesToVentilation.groovy;0
3;LQ-CO-3CA;LQ-CO-3CA;LQ-CO-3CA;Carretera Tunel;Carretera;172+100;CA;SendValuesToVentilation.groovy;0
4;LQ-CO-4CA;LQ-CO-4CA;LQ-CO-4CA;Carretera Tunel;Carretera;172+100;CA;SendValuesToVentilation.groovy;0
5;LQ-CO-5CA;LQ-CO-5CA;LQ-CO-5CA;Carretera Tunel;Carretera;172+100;CA;SendValuesToVentilation.groovy;0
6;LQ-CO-1MA;LQ-CO-1MA;LQ-CO-1MA;Carretera Tunel;Carretera;173+900;MA;SendValuesToVentilation.groovy;0
7;LQ-CO-2MA;LQ-CO-2MA;LQ-CO-2MA;Carretera Tunel;Carretera;173+900;MA;SendValuesToVentilation.groovy;0
8;LQ-CO-3MA;LQ-CO-3MA;LQ-CO-3MA;Carretera Tunel;Carretera;173+900;MA;SendValuesToVentilation.groovy;0
9;LQ-CO-4MA;LQ-CO-4MA;LQ-CO-4MA;Carretera Tunel;Carretera;173+900;MA;SendValuesToVentilation.groovy;0
