item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;1;RV-SOSE-1CA;RV-SOSE-1CA;RV-SOSE-1CA;AP7 - AUSOL I;RV-TUNEL;176+990;CA
2;1;RV-SOSE-2CA;RV-SOSE-2CA;RV-SOSE-2CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
3;1;RV-SOSE-1MA;RV-SOSE-1MA;RV-SOSE-1MA;AP7 - AUSOL I;RV-TUNEL;176+984;MA
4;1;RV-SOSE-2MA;RV-SOSE-2MA;RV-SOSE-2MA;AP7 - AUSOL I;RV-TUNEL;177+325;MA
5;1;RV-SOS-1CA;RV-SOS-1CA;RV-SOS-1CA;AP7 - AUSOL I;RV-TUNEL;177+102;CA
6;1;RV-SOS-1MA;RV-SOS-1MA;RV-SOS-1MA;AP7 - AUSOL I;RV-TUNEL;177+120;MA
7;1;MM-SOSE-2CA;MM-SOSE-2CA;MM-SOSE-2CA;AP7 - AUSOL I;MM-TUNEL;166+094;CA
8;1;MM-SOSE-1MA;MM-SOSE-1MA;MM-SOSE-1MA;AP7 - AUSOL I;MM-TUNEL;166+105;MA
9;1;MM-SOSE-1CA;MM-SOSE-1CA;MM-SOSE-1CA;AP7 - AUSOL I;MM-TUNEL;166+713;MA
10;1;MM-SOSE-2MA;MM-SOSE-2MA;MM-SOSE-2MA;AP7 - AUSOL I;MM-TUNEL;166+711;MA
11;1;MM-SOS-1MA;MM-SOS-1MA;MM-SOS-1MA;AP7 - AUSOL I;MM-TUNEL;166+240;MA
12;1;MM-SOS-2MA;MM-SOS-2MA;MM-SOS-2MA;AP7 - AUSOL I;MM-TUNEL;166+410;MA
13;1;MM-SOS-3MA;MM-SOS-3MA;MM-SOS-3MA;AP7 - AUSOL I;MM-TUNEL;166+560;MA
14;1;MM-SOS-1CA;MM-SOS-1CA;MM-SOS-1CA;AP7 - AUSOL I;MM-TUNEL;166+577;CA
15;1;MM-SOS-2CA;MM-SOS-2CA;MM-SOS-2CA;AP7 - AUSOL I;MM-TUNEL;166+407;CA
16;1;MM-SOS-3CA;MM-SOS-3CA;MM-SOS-3CA;AP7 - AUSOL I;MM-TUNEL;166+257;CA
17;1;STMI-SOSE-1MA;STMI-SOSE-1MA;STMI-SOSE-1MA;AP7 - AUSOL I;STMI-TUNEL;195+529;MA
18;1;STMI-SOSE-2CA;STMI-SOSE-2CA;STMI-SOSE-2CA;AP7 - AUSOL I;STMI-TUNEL;195+709;CA
19;1;STMI-SOSE-1CA;STMI-SOSE-1CA;STMI-SOSE-1CA;AP7 - AUSOL I;STMI-TUNEL;195+529;CA
20;1;STMI-SOSE-2MA;STMI-SOSE-2MA;STMI-SOSE-2MA;AP7 - AUSOL I;STMI-TUNEL;195+709;MA
21;1;STMI-SOS-1CA;STMI-SOS-1CA;STMI-SOS-1CA;AP7 - AUSOL I;STMI-TUNEL;195+629;CA
22;1;STMI-SOS-1MA;STMI-SOS-1MA;STMI-SOS-1MA;AP7 - AUSOL I;STMI-TUNEL;195+629;MA
23;1;LQ-SOS-1CA;LQ-SOS-1CA;LQ-SOS-1CA;AP7 - AUSOL II;LQ-TUNEL;173+441;CA
24;1;LQ-SOS-2CA;LQ-SOS-2CA;LQ-SOS-2CA;AP7 - AUSOL II;LQ-TUNEL;173+242;CA
25;1;LQ-SOS-3CA;LQ-SOS-3CA;LQ-SOS-3CA;AP7 - AUSOL II;LQ-TUNEL;173+072;CA
26;1;LQ-SOS-4CA;LQ-SOS-4CA;LQ-SOS-4CA;AP7 - AUSOL II;LQ-TUNEL;172+903;CA
27;1;LQ-SOS-5CA;LQ-SOS-5CA;LQ-SOS-5CA;AP7 - AUSOL II;LQ-TUNEL;172+731;CA
28;1;LQ-SOSE-1CA;LQ-SOSE-1CA;LQ-SOSE-1CA;AP7 - AUSOL II;LQ-TUNEL;173+601;CA
29;1;LQ-SOSE-2CA;LQ-SOSE-2CA;LQ-SOSE-2CA;AP7 - AUSOL II;LQ-TUNEL;172+606;CA
30;1;LQ-SOS-1MA;LQ-SOS-1MA;LQ-SOS-1MA;AP7 - AUSOL II;LQ-TUNEL;172+731;MA
31;1;LQ-SOS-2MA;LQ-SOS-2MA;LQ-SOS-2MA;AP7 - AUSOL II;LQ-TUNEL;172+881;MA
32;1;LQ-SOS-3MA;LQ-SOS-3MA;LQ-SOS-3MA;AP7 - AUSOL II;LQ-TUNEL;173+032;MA
33;1;LQ-SOS-4MA;LQ-SOS-4MA;LQ-SOS-4MA;AP7 - AUSOL II;LQ-TUNEL;173+348;MA
34;1;LQ-SOSE-1MA;LQ-SOSE-1MA;LQ-SOSE-1MA;AP7 - AUSOL II;LQ-TUNEL;172+617;MA
35;1;LQ-SOSE-2MA;LQ-SOSE-2MA;LQ-SOSE-2MA;AP7 - AUSOL II;LQ-TUNEL;173+608;MA
36;1;CH-SOSE-1CA;CH-SOSE-1CA;CH-SOSE-1CA;AP7 - AUSOL I;CH-TUNEL;199+167;CA
37;1;CH-SOSE-2MA;CH-SOSE-2MA;CH-SOSE-2MA;AP7 - AUSOL I;CH-TUNEL;199+844;MA
38;1;CH-SOSE-2CA;CH-SOSE-2CA;CH-SOSE-2CA;AP7 - AUSOL I;CH-TUNEL;199+853;CA
39;1;CH-SOSE-1MA;CH-SOSE-1MA;CH-SOSE-1MA;AP7 - AUSOL I;CH-TUNEL;199+163;MA
40;1;CH-SOS-1MA;CH-SOS-1MA;CH-SOS-1MA;AP7 - AUSOL I;CH-TUNEL;199+380;MA
41;1;CH-SOS-2MA;CH-SOS-2MA;CH-SOS-2MA;AP7 - AUSOL I;CH-TUNEL;199+525;MA
42;1;CH-SOS-3MA;CH-SOS-3MA;CH-SOS-3MA;AP7 - AUSOL I;CH-TUNEL;199+678;MA
43;1;CH-SOS-1CA;CH-SOS-1CA;CH-SOS-1CA;AP7 - AUSOL I;CH-TUNEL;199+679;CA
44;1;CH-SOS-2CA;CH-SOS-2CA;CH-SOS-2CA;AP7 - AUSOL I;CH-TUNEL;199+515;CA
45;1;CH-SOS-3CA;CH-SOS-3CA;CH-SOS-3CA;AP7 - AUSOL I;CH-TUNEL;199+362;CA
46;1;NG-SOS-1CA;NG-SOS-1CA;NG-SOS-1CA;AP7 - AUSOL I;NG-TUNEL;180+110;CA
47;1;NG-SOS-2CA;NG-SOS-2CA;NG-SOS-2CA;AP7 - AUSOL I;NG-TUNEL;180+040;CA
48;1;NG-SOS-3CA;NG-SOS-3CA;NG-SOS-3CA;AP7 - AUSOL I;NG-TUNEL;179+965;CA
49;1;NG-SOS-4CA;NG-SOS-4CA;NG-SOS-4CA;AP7 - AUSOL I;NG-TUNEL;179+895;CA
50;1;NG-SOS-5CA;NG-SOS-5CA;NG-SOS-5CA;AP7 - AUSOL I;NG-TUNEL;179+815;CA
51;1;NG-SOS-6CA;NG-SOS-6CA;NG-SOS-6CA;AP7 - AUSOL I;NG-TUNEL;179+740;CA
52;1;NG-SOS-7CA;NG-SOS-7CA;NG-SOS-7CA;AP7 - AUSOL I;NG-TUNEL;179+665;CA
53;1;NG-SOS-8CA;NG-SOS-8CA;NG-SOS-8CA;AP7 - AUSOL I;NG-TUNEL;179+595;CA
54;1;NG-SOSE-1CA;NG-SOSE-1CA;NG-SOSE-1CA;AP7 - AUSOL I;NG-TUNEL;180+220;CA
55;1;NG-SOSE-2CA;NG-SOSE-2CA;NG-SOSE-2CA;AP7 - AUSOL I;NG-TUNEL;179+500;CA
56;1;NG-SOS-1MA;NG-SOS-1MA;NG-SOS-1MA;AP7 - AUSOL I;NG-TUNEL;179+590;MA
57;1;NG-SOS-2MA;NG-SOS-2MA;NG-SOS-2MA;AP7 - AUSOL I;NG-TUNEL;179+665;MA
58;1;NG-SOS-3MA;NG-SOS-3MA;NG-SOS-3MA;AP7 - AUSOL I;NG-TUNEL;179+745;MA
59;1;NG-SOS-4MA;NG-SOS-4MA;NG-SOS-4MA;AP7 - AUSOL I;NG-TUNEL;179+825;MA
60;1;NG-SOS-5MA;NG-SOS-5MA;NG-SOS-5MA;AP7 - AUSOL I;NG-TUNEL;179+905;MA
61;1;NG-SOS-6MA;NG-SOS-6MA;NG-SOS-6MA;AP7 - AUSOL I;NG-TUNEL;179+980;MA
62;1;NG-SOS-7MA;NG-SOS-7MA;NG-SOS-7MA;AP7 - AUSOL I;NG-TUNEL;180+060;MA
63;1;NG-SOS-8MA;NG-SOS-8MA;NG-SOS-8MA;AP7 - AUSOL I;NG-TUNEL;180+140;MA
64;1;NG-SOSE-1MA;NG-SOSE-1MA;NG-SOSE-1MA;AP7 - AUSOL I;NG-TUNEL;179+500;MA
65;1;NG-SOSE-2MA;NG-SOSE-2MA;NG-SOSE-2MA;AP7 - AUSOL I;NG-TUNEL;180+220;MA
