item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param5_sender_ip
1;1;RV-DAC-1;RV-DAC-1;RV-DAC-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;PAsystemParamsAdapter.groovy;192.168.11.13
2;1;MM-DAC-1;MM-DAC-1;MM-DAC-1;AP7 - AUSOL I;MM-TUNEL;177+317;CA;PAsystemParamsAdapter.groovy;192.168.12.13
3;1;STMI-DAC-1;STMI-DAC-1;STMI-DAC-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;PAsystemParamsAdapter.groovy;192.168.13.15
4;1;LQ-DAC-1;LQ-DAC-1;LQ-DAC-1;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;PAsystemParamsAdapter.groovy;192.168.14.15
5;1;CH-DAC-1;CH-DAC-1;CH-DAC-1;AP7 - AUSOL I;CH-TUNEL;199+793;CA;PAsystemParamsAdapter.groovy;192.168.9.15
6;1;COR-DAC-1;COR-DAC-1;COR-DAC-1;AP7 - AUSOL II;COR-TUNEL;199+793;CA;PAsystemParamsAdapter.groovy;192.168.15.15
7;1;STM2-DAC-1;STM2-DAC-1;STM2-DAC-1;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;PAsystemParamsAdapter.groovy;192.168.10.15
8;1;NG-DAC-1;NG-DAC-1;NG-DAC-1;AP7 - AUSOL I;NG-TUNEL;150+787;CA;PAsystemParamsAdapter.groovy;192.168.17.53
9;1;CAS-DAC-1;CAS-DAC-1;CAS-DAC-1;AP7 - AUSOL II;CAS-TUNEL;150+787;CA;PAsystemParamsAdapter.groovy;192.168.5.135
25;1;EST-DAC-1;EST-DAC-1;EST-DAC-1;AP7 - AUSOL II;EST-TUNEL;177+229;CA;PAsystemParamsAdapter.groovy;192.168.16.15
