device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_state_cmd(i);offset_state(i)
MM-CONT-A20-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8289;6229
STMI-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8290;6230
STMI-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8291;6231
STMI-CONT-AA6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8292;6232
STMI-CONT-AA7-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8293;6233
STMI-CONT-AE5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8294;6234
STMI-CONT-AE10-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8295;6235
STMI-CONT-A11;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8296;6236
STMI-CONT-A12;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8297;6237
STMI-CONT-A13;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8298;6238
STMI-CONT-A14;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8299;6239
STMI-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8300;6240
STMI-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8301;6241
STMI-CONT-A8-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8302;6242
STMI-CONT-A9-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8303;6243
LQ-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8304;6244
LQ-CONT-AA15-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8305;6245
LQ-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8306;6246
LQ-CONT-AA16-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8307;6247
LQ-CONT-AA11-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8308;6248
LQ-CONT-AA21-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8309;6249
LQ-CONT-AA10-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8310;6250
LQ-CONT-AA20-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8311;6251
LQ-CONT-AE14-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8312;6252
LQ-CONT-AE9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8313;6253
LQ-CONT-A29-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8314;6254
LQ-CONT-A30-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8315;6255
LQ-CONT-A31-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8316;6256
LQ-CONT-A32-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8317;6257
LQ-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8318;6258
LQ-CONT-A5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8319;6259
LQ-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8320;6260
LQ-CONT-A6-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8321;6261
LQ-CONT-A13-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8322;6262
LQ-CONT-A23-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8323;6263
LQ-CONT-A12-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8324;6264
LQ-CONT-A22-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8325;6265
LQ-CONT-A33-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8326;6266
LQ-CONT-A34-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8327;6267
LQ-CONT-A35-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8328;6268
LQ-CONT-A36-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8329;6269
CH-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8330;6270
CH-CONT-A5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8331;6271
CH-CONT-A7-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8332;6272
CH-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8333;6273
CH-CONT-A6-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8334;6274
CH-CONT-A8-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8335;6275
CH-CONT-A14-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8336;6276
CH-CONT-A16-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8337;6277
CH-CONT-A18-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8338;6278
CH-CONT-A11-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8339;6279
CH-CONT-A13-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8340;6280
CH-CONT-A15-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8341;6281
CH-CONT-AA1-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8342;6282
CH-CONT-AA2-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8343;6283
CH-CONT-AA12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8344;6284
CH-CONT-AA9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8345;6285
CH-CONT-AE10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8346;6286
CH-CONT-AE17-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8347;6287
CH-CONT-A19-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8348;6288
CH-CONT-A20-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8349;6289
CH-CONT-A21-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8350;6290
CH-CONT-A22-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8351;6291
CAS-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8352;6292
CAS-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8353;6293
CAS-CONT-AA10-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8354;6294
CAS-CONT-AA11-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8355;6295
CAS-CONT-AE9-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8356;6296
CAS-CONT-AE12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8357;6297
CAS-CONT-A15-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8358;6298
CAS-CONT-A16-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8359;6299
CAS-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8360;6300
CAS-CONT-A5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8361;6301
CAS-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8362;6302
CAS-CONT-A6-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8363;6303
CAS-CONT-AA10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8364;6304
CAS-CONT-AA11-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8365;6305
CAS-CONT-AA1-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8366;6306
CAS-CONT-AA2-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8367;6307
CAS-CONT-AE9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8368;6308
CAS-CONT-AE12-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8369;6309
