device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm(i);offset_fail(i)
LQ-CT-CGBT-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2732;2733
LQ-CT-CGBT-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2734;2735
LQ-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2736;2737
LQ-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2738;2739
LQ-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2740;2741
LQ-CT-PCI-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2742;2743
NG-CT-CGBT-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2744;2745
NG-CT-CGBT-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2746;2747
NG-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2748;2749
NG-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2750;2751
NG-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2752;2753
NG-CT-PCI-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2754;2755
COR-CT-CGBT-BC-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2756;2757
COR-CT-CGBT-BC-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2758;2759
COR-CT-CGBT-BM-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2760;2761
COR-CT-CGBT-BM-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2762;2763
COR-CT-IT-BC-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2764;2765
COR-CT-IT-BC-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2766;2767
COR-CT-IT-BM-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2768;2769
COR-CT-IT-BM-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2770;2771
COR-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2772;2773
COR-CT-PCI-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2774;2775
