device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm(i);offset_fail(i)
RV-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2582;2583
RV-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2584;2585
RV-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2586;2587
MM-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2588;2589
MM-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2590;2591
MM-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2592;2593
STMI-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2594;2595
STMI-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2596;2597
CAS-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2598;2599
CAS-CT-CGBT-BC-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2600;2601
CAS-CT-ITS-BC-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2602;2603
CAS-CT-CGBT-BM-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2604;2605
CAS-CT-ITS-BM-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2606;2607
CH-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2608;2609
CH-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2610;2611
CH-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2612;2613
EST-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2614;2615
EST-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2616;2617
STM2-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2618;2619
STM2-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2620;2621
LQ-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2622;2623
LQ-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2624;2625
LQ-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2626;2627
NG-CT-CGBT-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2628;2629
NG-CT-ITS-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2630;2631
NG-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2632;2633
COR-CT-CGBT-BM-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2634;2635
COR-CT-CGBT-BC-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2636;2637
COR-CT-ITS-BM-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2638;2639
COR-CT-ITS-BC-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2640;2641
COR-CT-PCI-PULS-1;PULSADOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2642;2643
