device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_redun_comm(i);offset_peripheral_ctrl(i)
RV-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5929
RV-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3082;5930
MM-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5931
MM-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3083;5932
STMI-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5933
STMI-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3083;5934
LQ-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5935
LQ-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3084;5936
CH-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5937
CH-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3084;5938
CAS-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5939
CAS-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3085;5940
COR-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5941
COR-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3085;5942
EST-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5943
EST-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3086;5944
STM2-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5945
STM2-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3086;5946
NG-ERU-1-MASTER;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;0;5947
NG-ERU-1-SLAVE;ERU;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3087;5948
