device_name;source_name;det_name;det_order;url_publisher
RV-ETD-1CA;ETDS;RV-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1CA;ETDS;RV-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1CA;ETDS;RV-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1CA;ETDS;RV-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1MA;ETDS;RV-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1MA;ETDS;RV-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1MA;ETDS;RV-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-ETD-1MA;ETDS;RV-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1CA;ETDS;STMI-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1CA;ETDS;STMI-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1CA;ETDS;STMI-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1CA;ETDS;STMI-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1MA;ETDS;STMI-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1MA;ETDS;STMI-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-ETD-1MA;ETDS;STMI-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
