device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_co_concentration(i);offset_alarm_sensor(i);offset_alarm_fa(i)
RV-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3498;2072;2073
RV-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3499;2074;2075
MM-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3500;2076;2077
MM-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3501;2078;2079
MM-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3502;2080;2081
MM-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3503;2082;2083
MM-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3504;2084;2085
MM-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3505;2086;2087
LQ-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3506;2088;2089
LQ-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3507;2090;2091
LQ-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3508;2092;2093
LQ-CO-4CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3509;2094;2095
LQ-CO-5CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3510;2096;2097
LQ-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3511;2098;2099
LQ-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3512;2100;2101
LQ-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3513;2102;2103
LQ-CO-4MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3514;2104;2105
CH-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3515;2106;2107
CH-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3516;2108;2109
CH-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3517;2110;2111
CH-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3518;2112;2113
CH-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3519;2114;2115
CH-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3520;2116;2117
CAS-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3521;2118;2119
CAS-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3522;2120;2121
CAS-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3523;2122;2123
CAS-CO-4MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3524;2124;2125
CAS-CO-5MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3525;2126;2127
CAS-CO-6MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3526;2128;2129
CAS-CO-7MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3527;2130;2131
CAS-CO-8MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3528;2132;2133
CAS-CO-9MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3529;2134;2135
CAS-CO-10MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3530;2136;2137
CAS-CO-11MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3531;2138;2139
CAS-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3532;2140;2141
CAS-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3533;2142;2143
CAS-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3534;2144;2145
CAS-CO-4CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3535;2146;2147
CAS-CO-5CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3536;2148;2149
CAS-CO-6CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3537;2150;2151
CAS-CO-7CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3538;2152;2153
CAS-CO-8CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3539;2154;2155
CAS-CO-9CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3540;2156;2157
CAS-CO-10CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3541;2158;2159
CAS-CO-11CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3542;2160;2161
COR-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3543;2162;2163
COR-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3544;2164;2165
COR-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3545;2166;2167
COR-CO-4MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3546;2168;2169
COR-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3547;2170;2171
COR-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3548;2172;2173
COR-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3549;2174;2175
COR-CO-4CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3550;2176;2177
STM2-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3551;2178;2179
STM2-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3552;2180;2181
STM2-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3553;2182;2183
STM2-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3554;2184;2185
STM2-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3555;2186;2187
STM2-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3556;2188;2189
NG-CO-1MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3557;2190;2191
NG-CO-2MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3558;2192;2193
NG-CO-3MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3559;2194;2195
NG-CO-4MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3560;2196;2197
NG-CO-5MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3561;2198;2199
NG-CO-6MA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3562;2200;2201
NG-CO-1CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3563;2202;2203
NG-CO-2CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3564;2204;2205
NG-CO-3CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3565;2206;2207
NG-CO-4CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3566;2208;2209
NG-CO-5CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3567;2210;2211
NG-CO-6CA;CO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3568;2212;2213
