device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_bar_state(i);offset_bar_cmd(i);offset_barrier_fail_command(i);offset_barrier_down_veh_det(i);offset_barrier_no_return(i);offset_barrier_down_no_red_sem(i)
RV-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2200;8001;1;2;3;4
RV-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2201;8002;5;6;7;8
RV-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2202;8003;9;10;11;12
RV-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2203;8004;13;14;15;16
MM-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2204;8005;17;18;19;20
MM-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2205;8006;21;22;23;24
MM-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2206;8007;25;26;27;28
MM-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2207;8008;29;30;31;32
STMI-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2208;8009;33;34;35;36
STMI-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2209;8010;37;38;39;40
STMI-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2210;8011;41;42;43;44
STMI-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2211;8012;45;46;47;48
CH-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2212;8013;49;50;51;52
CH-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2213;8014;53;54;55;56
CH-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2214;8015;57;58;59;60
CH-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2215;8016;61;62;63;64
LQ-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2216;8017;65;66;67;68
LQ-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2217;8018;69;70;71;72
LQ-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2218;8019;73;74;75;76
LQ-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2219;8020;77;78;79;80
COR-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2220;8021;81;82;83;84
COR-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2221;8022;85;86;87;88
COR-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2222;8023;89;90;91;92
COR-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2223;8024;93;94;95;96
EST-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2224;8025;97;98;99;100
EST-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2225;8026;101;102;103;104
EST-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2226;8027;105;106;107;108
EST-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2227;8028;109;110;111;112
NG-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2228;8029;113;114;115;116
NG-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2229;8030;117;118;119;120
NG-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2230;8031;121;122;123;124
NG-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2231;8032;125;126;127;128
STM2-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2232;8033;129;130;131;132
STM2-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2233;8034;133;134;135;136
STM2-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2234;8035;137;138;139;140
STM2-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2235;8036;141;142;143;144
CAS-BAR-1MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2236;8037;145;146;147;148
CAS-BAR-2MA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2237;8038;149;150;151;152
CAS-BAR-1CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2238;8039;153;154;155;156
CAS-BAR-2CA;BARRERAS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2239;8040;157;158;159;160
